status,desc,can_do_0,can_do_1,can_do_2,can_do_3,can_do_4,can_do_5,can_do_6,can_do_7,can_do_8
状态,描述,选择队友作为技能目标,选择敌方作为技能目标,移动,普通攻击,使用技能,被队友选择为技能目标,被敌方选择为技能目标,改变攻击目标(被嘲讽),能否收到伤害
int,string,int,int,int,int,int,int,int,int,int
1,死亡,0,0,0,0,0,0,0,1,0
2,冰封,0,0,0,0,0,1,1,1,1
3,禁锢,1,1,0,1,1,1,1,1,1
4,嘲讽,0,0,1,1,1,1,1,0,1
5,禁言,0,0,1,1,0,1,1,1,1
6,混乱,1,1,1,1,1,1,1,1,1
7,移动中,1,1,1,1,1,1,1,1,1
8,晕眩,0,0,0,0,0,1,1,1,1
9,恐惧,0,0,1,0,0,1,1,1,1
10,无敌,1,1,1,1,1,1,0,1,0
11,免疫控制,1,1,1,1,1,1,1,1,1
12,变羊,0,0,1,0,0,1,1,1,1
13,假死,0,0,0,0,0,0,0,1,1
14,消失,0,0,1,0,0,0,0,1,1
15,致盲,0,0,0,0,0,0,1,1,1

