scene,battle_group,distance
场景id,战斗点,距离
int,int,int
3,1,28000
3,2,33600
3,3,26400
3,4,30000
3,5,24000
3,6,25200
3,7,25200
3,8,41200
5,1,36800
5,2,21600
5,3,22800
5,4,16000
5,5,30000
2,1,20000
2,2,18000
2,3,29600
2,4,22000
2,5,20000
2,6,20000
2,7,26800
2,8,24000
4,1,26000
4,2,22000
4,3,13200
4,4,44000
4,5,15200
4,6,14800
4,7,31200
4,8,18000
6,1,26400
6,2,18000
6,3,68000
6,4,20800
6,5,10400
6,6,26400
6,7,42000
6,8,14400
7,1,48000
7,2,35200
7,3,37200
7,4,52000
7,5,23200
8,1,27200
8,2,16000
8,3,18000
8,4,16000
8,5,24000
8,6,21600
8,7,21200
8,8,17600
8,9,20000
8,10,16800
8,11,26000
8,12,14400
8,13,29600
8,14,46000
8,15,22400
8,16,33200
8,17,44800
9,1,24000
9,2,22000
9,3,22800
9,4,42000
9,5,20000
9,6,20400
9,7,20400
9,8,28000
10,1,20000
10,2,26000
10,3,22000
10,4,26800
10,5,30000
10,6,26000
10,7,36000
11,1,32000
11,2,24800
11,3,21200
11,4,19200
11,5,34000
11,6,22800
11,7,16000
11,8,19600
12,1,56000
12,2,33200
12,3,16800
12,4,12000
12,5,30000
12,6,14400
12,7,21200
12,8,10800
12,9,11600
13,1,32800
13,2,32000
13,3,32800
13,4,32000
13,5,31200
13,6,40000
13,7,28000
13,8,32000
13,9,34000
13,10,28000
13,11,29200
13,12,40000
14,1,32800
14,2,20000
14,3,19200
14,4,26000
14,5,23600
14,6,24000
14,7,29600
14,8,21200
14,9,23200
15,1,28400
15,2,18000
15,3,24000
15,4,36000
15,5,34000
15,6,18000
15,7,28000
15,8,24000
15,9,23600
15,10,22000
15,11,21600
16,1,34400
16,2,22000
16,3,36800
16,4,29200
16,5,29200
16,6,32000
16,7,26800
16,8,27200
17,1,48000
17,2,16000
17,3,26400
17,4,13600
17,5,18400
17,6,20000
17,7,23200
17,8,28400
17,9,24000
17,10,31200
17,11,36400
17,12,14400
17,13,24000
17,14,17200
17,15,23200
18,1,46400
18,2,45200
18,3,15200
18,4,16400
18,5,20400
18,6,20400
18,7,43200
18,8,26800
18,9,20800
18,10,40000
19,1,29600
19,2,24800
19,3,22000
19,4,28000
19,5,28400
19,6,30800
19,7,28000
19,8,22000
19,9,48000
19,10,17200

