id,mission_id,stage_index,main_actor_id,conditionType,conditionValue1,conditionValue2,event_type_1,npc_id_1,npc_side_1,npc_pos_1,npc_id_2,npc_side_2,npc_pos_2,eventTime,text_0,action_0,isnpc_0,text_1,action_1,isnpc_1,text_2,action_2,isnpc_2,text_3,action_3,isnpc_3,text_4,action_4,isnpc_4
唯一索引,任务ID,剧情索引,主角ID,触发条件类型(0血量 1时间 2移动指定目标),触发条件值1,触发条件值2,事件类型(0对话 1角色进场 2角色离场),npcID,npc阵营,npc位置,npcID,npc阵营,npc位置,事件时机 对话索引,对话1,动作1,玩家orNPC,对话2,动作2,玩家orNPC,对话3,动作3,玩家orNPC,对话4,动作4,玩家orNPC,对话5,动作5,玩家orNPC
int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,int,int,string,int,int,string,int,int,string,int,int,string,int,int
1,10001,1,10102,0,0,99,1,36354,0,15,0,0,0,1,plot_text_1_2,-1,36354,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
3,10051,1,10128,0,0,99,1,36355,0,15,0,0,0,1,plot_text_2_2,-1,36355,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
5,10001,1,10113,0,0,99,1,36354,0,15,0,0,0,1,plot_text_3_2,-1,36354,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
7,10001,1,10109,0,0,99,1,36354,0,15,0,0,0,1,plot_text_4_2,-1,36354,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
9,10001,1,10133,0,0,99,1,36354,0,15,0,0,0,1,plot_text_5_2,-1,36354,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
11,10051,1,10119,0,0,99,1,36355,0,15,0,0,0,1,plot_text_6_2,-1,36355,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
13,10051,1,10114,0,0,99,1,36355,0,15,0,0,0,1,plot_text_7_2,-1,36355,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
15,10051,1,10123,0,0,99,1,36355,0,15,0,0,0,1,plot_text_8_2,-1,36355,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
17,10001,1,10126,0,0,99,1,36354,0,15,0,0,0,1,plot_text_9_2,-1,36354,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
19,10003,1,10102,0,0,99,1,36350,0,14,0,0,0,1,plot_text_10_1,-1,36350,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
20,10053,1,10128,0,0,99,1,36352,0,14,0,0,0,1,plot_text_11_1,-1,36352,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
21,10003,1,10113,0,10002,50,1,36349,0,14,0,0,0,1,plot_text_12_1,-1,36349,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
22,10003,1,10109,0,10002,50,1,36350,0,14,0,0,0,1,plot_text_13_1,-1,36350,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
23,10003,1,10133,0,10002,50,1,36349,0,14,0,0,0,1,plot_text_14_1,-1,36349,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
24,10053,1,10119,0,10008,50,1,36352,0,14,0,0,0,1,plot_text_15_1,-1,36352,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
25,10053,1,10114,0,10008,50,1,36352,0,14,0,0,0,1,plot_text_16_1,-1,36352,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
26,10053,1,10123,0,10008,50,1,36352,0,14,0,0,0,1,plot_text_17_1,-1,36352,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
