level,win_exp,win_gold,lose_exp,lose_gold,get_flag_exp,get_flag_gold,battle_win_exp,battle_win_gold
等级,获胜经验,获胜金币,失败经验,失败金币,占旗经验,占旗金币,单场经验,单场金币
int,int,int,int,int,int,int,int,int
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,233280,12960,139968,7776,58320,3240,11664,648
19,241920,13680,145152,8208,60480,3420,12096,684
20,250560,14400,150336,8640,62640,3600,12528,720
21,259200,15120,155520,9072,64800,3780,12960,756
22,267840,15840,160704,9504,66960,3960,13392,792
23,276480,16560,165888,9936,69120,4140,13824,828
24,285120,17280,171072,10368,71280,4320,14256,864
25,293760,18000,176256,10800,73440,4500,14688,900
26,302400,18720,181440,11232,75600,4680,15120,936
27,311040,19440,186624,11664,77760,4860,15552,972
28,319680,20160,191808,12096,79920,5040,15984,1008
29,328320,20880,196992,12528,82080,5220,16416,1044
30,336960,22320,202176,13392,84240,5580,16848,1116
31,345600,23760,207360,14256,86400,5940,17280,1188
32,354240,25200,212544,15120,88560,6300,17712,1260
33,362880,26640,217728,15984,90720,6660,18144,1332
34,371520,28080,222912,16848,92880,7020,18576,1404
35,380160,29520,228096,17712,95040,7380,19008,1476
36,388800,30960,233280,18576,97200,7740,19440,1548
37,397440,32400,238464,19440,99360,8100,19872,1620
38,406080,33840,243648,20304,101520,8460,20304,1692
39,414720,35280,248832,21168,103680,8820,20736,1764
40,423360,36720,254016,22032,105840,9180,21168,1836
41,432000,38160,259200,22896,108000,9540,21600,1908
42,440640,39600,264384,23760,110160,9900,22032,1980
43,449280,41040,269568,24624,112320,10260,22464,2052
44,457920,42480,274752,25488,114480,10620,22896,2124
45,466560,44640,279936,26784,116640,11160,23328,2232
46,475200,46800,285120,28080,118800,11700,23760,2340
47,483840,48960,290304,29376,120960,12240,24192,2448
48,492480,51120,295488,30672,123120,12780,24624,2556
49,501120,53280,300672,31968,125280,13320,25056,2664
50,509760,55440,305856,33264,127440,13860,25488,2772
51,518400,57600,311040,34560,129600,14400,25920,2880
52,527040,59760,316224,35856,131760,14940,26352,2988
53,535680,61920,321408,37152,133920,15480,26784,3096
54,544320,64080,326592,38448,136080,16020,27216,3204
55,552960,66240,331776,39744,138240,16560,27648,3312
56,561600,68400,336960,41040,140400,17100,28080,3420
57,570240,70560,342144,42336,142560,17640,28512,3528
58,578880,72720,347328,43632,144720,18180,28944,3636
59,587520,74880,352512,44928,146880,18720,29376,3744
60,596160,77760,357696,46656,149040,19440,29808,3888

