buff_name,name,is_buff,can_despell,is_continue
BUFF,名称,buff,是否可驱散,类型
string,string,int,int,int
add_status,添加状态,1,1,0
add_critical_percent,增加暴击率,1,1,0
slow_down,降低移动速度,-1,1,0
reduce_damage,免伤,1,-1,0
sneer,嘲讽,-1,1,0
bleed,流血,-1,1,1
immune,旋风斩-免控,1,-1,0
sweep_away,横扫,1,-1,0
impaling,穿刺,1,-1,0
reduce_cure_effect,降低治疗效果,-1,1,0
be_attack_damage,反击,1,-1,0
add_level2,增加二级属性,1,1,0
mark,标记,1,-1,0
reckless,鲁莽,1,-1,0
life_steal,攻击吸血,1,-1,0
reduce_level2,降低二级属性,-1,1,0
add_hp_max,增加生命上限,1,-1,0
add_dodge_percent,增加闪避率,1,1,0
electric_overload,电能超载,1,-1,0
weapon_enhence,风怒武器,1,-1,0
flash_ball,闪电盾,1,1,0
hunter_mark,猎人印记,-1,1,0
wild,狂暴-伤害提升,1,-1,0
sting,钉刺,-1,1,2
fake_dead,假死,1,-1,0
ice_shield,冰甲,1,-1,0
ice_block,寒冰屏障,1,-1,0
burning,燃烧,-1,1,2
sheep,变羊,-1,1,0
combo_point,连击点,1,-1,0
continue_cure,持续治疗,1,1,3
corruption,腐蚀术,-1,1,2
death_coil,死亡缠绕,-1,1,2
redemption_ghost,救赎之魂,1,-1,0
pain,暗言术·痛,-1,1,2
dark_mark,吸血鬼的拥抱,-1,1,0
plague,瘟疫,-1,1,2
add_cure_effect,增加治疗效果,1,1,0
add_source_hp,圣光审判,1,1,0
holy_shield,神圣之盾,1,1,0
divine_shield,无敌,1,-1,0
damage_link,伤害分摊,1,-1,0
seal_of_command,命令圣印-吸血,-1,1,0
seal_of_justice,正义审判,-1,1,0
deadly_poison,涂毒-致命毒药,1,-1,0
poison,中毒,-1,1,2
instant_poison,涂毒-速效毒药,1,-1,0
blade_flurry,剑刃乱舞,1,-1,0
hemorrhage,出血,1,-1,0
ghostly_strike,鬼魅,-1,1,0
disappear,潜行,1,1,0
transform,变身,1,-1,0
fury,狂怒,1,1,0
weapon_deterrence,武装威慑,1,-1,0
sacrifice,献祭,-1,1,2
devotion,奉献,-1,-1,0
life_burst,生命绽放,1,1,3
knight_bless,庇护祝福,1,1,0
reduce_do_damage,降低造成的伤害,-1,1,0
punish_halo,惩戒光环,1,-1,0
mantra_shield,真言术盾,1,1,0
warlock_sacrifice,献祭,-1,1,2
warlock_curse,痛苦诅咒,-1,1,2
double_attack,切割,1,-1,0
add_damage,增加造成的伤害,1,1,0
reduce_accurate_rate,降低命中率,-1,1,0
cure_will_do_critical,必定暴击,1,1,0
enchent_bleed,流血加深,-1,1,2
physical_armor_weak,破甲虚弱,-1,1,0
resist_freeze,抵抗冰冻,1,1,0
ice_fire,霜火增伤,1,1,0
holy_light_guard,圣光守护,1,1,0
damage_link,灵魂连接,-1,1,0
will_do_dodge,必定闪避,1,1,0
oracle_shield,神谕护盾,1,1,0
oracle_shield_ex,神谕护盾+,1,1,0
will_be_critical,必定暴击,1,1,0
reduce_max_hp,降低生命上限,-1,1,0
resist_fear,抵抗恐惧,1,1,0
make_critical,必定暴击,1,1,0
resist_stun,晕眩抵抗,1,1,0

