common,channel_id,product_index,product_id,position_id,common1
注释,对应的渠道编号,商品下标(顺序不能变!),商品描述,位置及开关,商品注释
string,string,int,string,int,string
默认渠道,koogame_mt_1,0,com.koogame.mt_c_68,2,至尊卡（68元）
默认渠道,koogame_mt_1,1,com.koogame.mt_c_28,1,月卡（28元）
默认渠道,koogame_mt_1,2,com.koogame.mt_648,9,648元
默认渠道,koogame_mt_1,3,com.koogame.mt_328,8,328元
默认渠道,koogame_mt_1,4,com.koogame.mt_198,7,198元
默认渠道,koogame_mt_1,5,com.koogame.mt_98,6,98元
默认渠道,koogame_mt_1,6,com.koogame.mt_c_50,3,开服基金（50元）
默认渠道,koogame_mt_1,7,com.koogame.mt_30,5,30元
默认渠道,koogame_mt_1,8,com.koogame.mt_18,0,18元
默认渠道,koogame_mt_1,9,com.koogame.mt_6,4,6元
默认渠道,koogame_mt_1,10,com.koogame.mt_lb_1,-1,1元礼包
默认渠道,koogame_mt_1,11,com.koogame.mt_lb_3,-1,3元礼包
默认渠道,koogame_mt_1,12,com.koogame.mt_lb_6,-1,6元礼包
默认渠道,koogame_mt_1,13,com.koogame.mt_tclb_30,-1,30元套餐礼包
默认渠道,koogame_mt_1,14,com.koogame.mt_tclb_98,-1,98元套餐礼包
默认渠道,koogame_mt_1,15,com.koogame.mt_tclb_198,-1,198元套餐礼包
默认渠道,koogame_mt_1,16,com.koogame.mt_tclb_328,-1,328元套餐礼包
默认渠道,koogame_mt_1,17,com.koogame.mt_tclb_648,-1,648元套餐礼包
默认渠道,koogame_mt_1,18,com.koogame.mt_zlb_30,-1,30元周礼包
默认渠道,koogame_mt_1,19,com.koogame.mt_zlb_98,-1,98元周礼包
默认渠道,koogame_mt_1,20,com.koogame.mt_zlb_198,-1,198元周礼包
默认渠道,koogame_mt_1,21,com.koogame.mt_zlb_328,-1,328元周礼包
默认渠道,koogame_mt_1,22,com.koogame.mt_zlb_648,-1,648元周礼包
默认渠道,koogame_mt_1,23,com.koogame.mt_ylb_30,-1,30元月礼包
默认渠道,koogame_mt_1,24,com.koogame.mt_ylb_98,-1,98元月礼包
默认渠道,koogame_mt_1,25,com.koogame.mt_ylb_198,-1,198元月礼包
默认渠道,koogame_mt_1,26,com.koogame.mt_ylb_328,-1,328元月礼包
默认渠道,koogame_mt_1,27,com.koogame.mt_ylb_648,-1,648元月礼包
默认渠道,koogame_mt_1,28,com.koogame.mt_10xslb_12,-1,10级限时礼包
默认渠道,koogame_mt_1,29,com.koogame.mt_20xslb_30,-1,20级限时礼包
默认渠道,koogame_mt_1,30,com.koogame.mt_30xslb_30,-1,30级限时礼包
默认渠道,koogame_mt_1,31,com.koogame.mt_40xslb_68,-1,40级限时礼包
默认渠道,koogame_mt_1,32,com.koogame.mt_50xslb_98,-1,50级限时礼包
默认渠道,koogame_mt_1,33,com.koogame.mt_60xslb_128,-1,60级限时礼包
默认渠道,koogame_mt_1,34,com.koogame.mt_zmlb_30,-1,招募限时礼包

