id,common,group_type,price_type,effect_value,effect_count,extra_value,item_name,desc,rmb_price,twd_price,hkd_price,sgd_price,myd_price,usd_price,icon,tip
配置索引,注释,组分类,价格类型,生效id,生效个数,附加值,道具名,描述,人民币,新台币,港币,新加坡,马来西亚,美元,图标,new/热卖/推荐等等
int,string,string,string,int,int,int,string,string,float,float,float,float,float,float,string,string
0,至尊卡（68元）,card,cash,-1,0,0,char_s_name1,null,68.0,99999.0,99999.0,99999.0,99999.0,9.99,atlas_charge_stroe+life_card,New
1,月卡（28元）,card,cash,-1,0,0,char_s_name2,null,28.0,99999.0,99999.0,99999.0,99999.0,2.99,atlas_charge_stroe+month_card,New
2,648元,charge,cash,29910002,6480,0,char_s_name3,null,648.0,99999.0,99999.0,99999.0,99999.0,99.99,atlas_charge_stroe+crystal_6,New
3,328元,charge,cash,29910002,3280,0,char_s_name4,null,328.0,99999.0,99999.0,99999.0,99999.0,49.99,atlas_charge_stroe+crystal_5,New
4,198元,charge,cash,29910002,1980,0,char_s_name5,null,198.0,99999.0,99999.0,99999.0,99999.0,29.99,atlas_charge_stroe+crystal_4,New
5,98元,charge,cash,29910002,980,0,char_s_name6,null,98.0,99999.0,99999.0,99999.0,99999.0,14.99,atlas_charge_stroe+crystal_3,New
6,开服基金（50元）,card,cash,-1,0,0,char_s_name7,null,50.0,99999.0,99999.0,99999.0,99999.0,7.99,atlas_charge_stroe+crystal_6,New
7,30元,charge,cash,29910002,300,0,char_s_name8,null,30.0,99999.0,99999.0,99999.0,99999.0,4.99,atlas_charge_stroe+crystal_2,New
8,18元,charge,cash,29910002,180,0,char_s_name9,null,18.0,99999.0,99999.0,99999.0,99999.0,2.99,atlas_charge_stroe+crystal_6,New
9,6元,charge,cash,29910002,60,0,char_s_name10,null,6.0,99999.0,99999.0,99999.0,99999.0,0.99,atlas_charge_stroe+crystal_1,New
10,1元礼包,acr_lb,cash,1,0,0,char_s_name11,null,1.0,99999.0,99999.0,99999.0,99999.0,0.99,null,null
11,3元礼包,acr_lb,cash,2,0,0,char_s_name12,null,3.0,99999.0,99999.0,99999.0,99999.0,0.99,null,null
12,6元礼包,acr_lb,cash,3,0,0,char_s_name13,null,6.0,99999.0,99999.0,99999.0,99999.0,0.99,null,null
13,30元套餐礼包,acr_tclb,cash,1,0,0,char_s_name14,null,30.0,99999.0,99999.0,99999.0,99999.0,4.99,null,null
14,98元套餐礼包,acr_tclb,cash,2,0,0,char_s_name15,null,98.0,99999.0,99999.0,99999.0,99999.0,14.99,null,null
15,198元套餐礼包,acr_tclb,cash,3,0,0,char_s_name16,null,198.0,99999.0,99999.0,99999.0,99999.0,29.99,null,null
16,328元套餐礼包,acr_tclb,cash,4,0,0,char_s_name17,null,328.0,99999.0,99999.0,99999.0,99999.0,49.99,null,null
17,648元套餐礼包,acr_tclb,cash,5,0,0,char_s_name18,null,648.0,99999.0,99999.0,99999.0,99999.0,99.99,null,null
18,30元周礼包,acr_zlb,cash,1,0,0,char_s_name19,null,30.0,99999.0,99999.0,99999.0,99999.0,4.99,null,null
19,98元周礼包,acr_zlb,cash,2,0,0,char_s_name20,null,98.0,99999.0,99999.0,99999.0,99999.0,14.99,null,null
20,198元周礼包,acr_zlb,cash,3,0,0,char_s_name21,null,198.0,99999.0,99999.0,99999.0,99999.0,29.99,null,null
21,328元周礼包,acr_zlb,cash,4,0,0,char_s_name22,null,328.0,99999.0,99999.0,99999.0,99999.0,49.99,null,null
22,648元周礼包,acr_zlb,cash,5,0,0,char_s_name23,null,648.0,99999.0,99999.0,99999.0,99999.0,99.99,null,null
23,30元月礼包,acr_ylb,cash,1,0,0,char_s_name24,null,30.0,99999.0,99999.0,99999.0,99999.0,4.99,null,null
24,98元月礼包,acr_ylb,cash,2,0,0,char_s_name25,null,98.0,99999.0,99999.0,99999.0,99999.0,14.99,null,null
25,198元月礼包,acr_ylb,cash,3,0,0,char_s_name26,null,198.0,99999.0,99999.0,99999.0,99999.0,29.99,null,null
26,328元月礼包,acr_ylb,cash,4,0,0,char_s_name27,null,328.0,99999.0,99999.0,99999.0,99999.0,49.99,null,null
27,648元月礼包,acr_ylb,cash,5,0,0,char_s_name28,null,648.0,99999.0,99999.0,99999.0,99999.0,99.99,null,null
28,10级限时礼包,acr_xslb,cash,1,0,0,char_s_name29,null,12.0,99999.0,99999.0,99999.0,99999.0,1.99,null,null
29,20级限时礼包,acr_xslb,cash,2,0,0,char_s_name30,null,30.0,99999.0,99999.0,99999.0,99999.0,4.99,null,null
30,30级限时礼包,acr_xslb,cash,3,0,0,char_s_name31,null,30.0,99999.0,99999.0,99999.0,99999.0,4.99,null,null
31,40级限时礼包,acr_xslb,cash,4,0,0,char_s_name32,null,68.0,99999.0,99999.0,99999.0,99999.0,9.99,null,null
32,50级限时礼包,acr_xslb,cash,5,0,0,char_s_name33,null,98.0,99999.0,99999.0,99999.0,99999.0,14.99,null,null
33,60级限时礼包,acr_xslb,cash,6,0,0,char_s_name34,null,128.0,99999.0,99999.0,99999.0,99999.0,19.99,null,null
34,招募限时礼包,acr_zmlb,cash,7,0,0,char_s_name35,null,30.0,99999.0,99999.0,99999.0,99999.0,4.99,null,null

