race,race_text,profession,profession_text,gender,gender_text,camp,actor_id,create_actor_id,weapon0main,weapon0vice,suit0,weapon1main,weapon1vice,suit1,weapon2main,weapon2vice,suit2,skillID,hair0,hair1,hair2,position0,position1,position2
种族,备注,职业,备注,性别,备注,阵营,角色id,角色id,T3主武器ID,T3副武器ID,T3套装ID,T1主武器ID,T1副武器ID,T1套装ID,T2主武器ID,T2副武器ID,T2套装ID,创角展示技能ID,haira,hairb,hairc,positionx,positiony,positionz
int,string,int,string,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,float,float,float
3,兽人,1,战士,2,男,2,10102,10202,1157,1158,104,1157,1158,104,1157,1138,104,200021,2,3,1,-1.93,0.0,0.0
1,牛头人,2,萨满,3,女,2,10109,10209,1857,1858,114,1857,1858,114,10830020,11430011,114,200091,5,6,4,-0.95,0.0,0.0
4,巨魔,3,猎人,3,女,2,10113,10213,2157,-1,124,2157,-1,124,2157,-1,124,200133,7,8,9,-0.02,0.0,0.0
5,人类,4,法师,3,女,1,10114,10214,2257,-1,134,2257,-1,134,2257,-1,134,200141,11,12,10,-51.48,0.0,0.0
7,侏儒,6,术士,3,女,1,10123,10223,2957,2958,154,2957,2958,154,2957,2958,154,200230,13,14,15,-50.4,0.0,0.0
2,亡灵,7,牧师,3,女,2,10126,10226,3047,-1,164,3047,-1,164,10630017,-1,164,200262,16,17,18,0.98,0.0,0.0
5,人类,8,圣骑士,2,男,1,10128,10228,3257,3258,174,3257,3258,174,10830021,3258,174,200284,21,20,19,-49.4,0.0,0.0
2,亡灵,9,盗贼,2,男,2,10133,10233,3947,3948,184,3947,3948,184,10930027,10930021,184,207001,22,23,24,1.95,0.0,0.0
6,暗夜精灵,5,德鲁伊,3,女,1,10119,10219,2657,-1,144,2657,-1,144,2657,-1,189,200640,25,26,27,-48.4,0.0,0.0

