id,suit_name,common,part_count_0,part_attr_0,part_value_0,part_0,part_count_1,part_attr_1,part_value_1,part_1,part_count_2,part_attr_2,part_value_2,part_2,part_count_3,part_attr_3,part_value_3,part_3
套装id,套装名字,注释,激活数,激活类型,激活数值,备注,激活数,激活类型,激活数值,备注,激活数,激活类型,激活数值,备注,激活数,激活类型,激活数值,备注
int,string,string,int,string,int,string,int,string,int,string,int,string,int,string,int,string,int,string
1,suit_name_1,美屡T0.5套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
2,suit_name_2,战士T0.5套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
3,suit_name_3,战士T2套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
101,suit_name_101,哀木涕T0套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
102,suit_name_102,哀木涕T0.5套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
103,suit_name_103,哀木涕T1套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
104,suit_name_104,哀木涕T2套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
105,suit_name_105,哀木涕T2.5套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
106,suit_name_106,哀木涕T3套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
107,suit_name_107,哀木涕默认20级装备,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
111,suit_name_111,傻馒T0套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
112,suit_name_112,傻馒T0.5套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
113,suit_name_113,傻馒T1套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
114,suit_name_114,傻馒T2套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
115,suit_name_115,傻馒T2.5套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
116,suit_name_116,傻馒T3套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
117,suit_name_117,傻馒默认20级装备,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
121,suit_name_121,劣人T0套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
122,suit_name_122,劣人T0.5套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
123,suit_name_123,劣人T1套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
124,suit_name_124,劣人T2套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
125,suit_name_125,劣人T2.5套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
126,suit_name_126,劣人T3套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
127,suit_name_127,劣人默认20级装备,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
131,suit_name_131,方砖T0套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
132,suit_name_132,方砖T0.5套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
133,suit_name_133,方砖T1套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
134,suit_name_134,方砖T2套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
135,suit_name_135,方砖T2.5套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
136,suit_name_136,方砖T3套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
137,suit_name_137,方砖默认20级装备,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
141,suit_name_141,神棍德T0套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
142,suit_name_142,神棍德T0.5套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
143,suit_name_143,神棍德T1套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
144,suit_name_144,神棍德T2套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
145,suit_name_145,神棍德T2.5套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
146,suit_name_146,神棍德T3套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
147,suit_name_147,神棍德默认20级装备,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
151,suit_name_151,娇花T0套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
152,suit_name_152,娇花T0.5套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
153,suit_name_153,娇花T1套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
154,suit_name_154,娇花T2套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
155,suit_name_155,娇花T2.5套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
156,suit_name_156,娇花T3套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
157,suit_name_157,娇花默认20级装备,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
161,suit_name_161,沐丝T0套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
162,suit_name_162,沐丝T0.5套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
163,suit_name_163,沐丝T1套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
164,suit_name_164,沐丝T2套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
165,suit_name_165,沐丝T2.5套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
166,suit_name_166,沐丝T3套,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
167,suit_name_167,沐丝默认20级装备,-1,"",0,"",-1,"",0,"",-1,"",0,"",-1,"",0,""
