id,name,note,desc,not,type,weapon_type,icon,res,color,level_limit,equip_level,gem_slot_count,race_limit,prof_limit,talent_limit,init_durable,suit_group_id,property_effect.skill,property_effect.endurance,property_effect.physical_strength,property_effect.agile,property_effect.intelligence,property_effect.spirit,property_effect.hp,property_effect.physical_attack,property_effect.magic_attack,property_effect.physical_armor,property_effect.magic_armor,property_effect.critical,property_effect.toughness,property_effect.accurate,property_effect.dodge,property_effect.move_speed,property_effect.attack_speed,strength_type,strength_value
id,名字,备注,描述,备注,装备部位,武器子类型,装备icon,装备模型,装备品质,需求等级,装备等级,宝石空数,种族限制,职业限定,天赋限定,耐久度,套装id,技能属性,耐力,力量,敏捷,智力,精神,生命,攻强,法强,护甲,抗性,爆击,韧性,命中,闪避,移动速度,攻击速度,强化属性,强化值
int,string,string,string,string,int,int,string,int,int,int,int,int,string,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,float
1,equip_name_1,美屡的测试T0.5头盔,equip_detail_1,美屡,3,-1,equip_level_20+item_icon_01,12,1,1,20,1,0,0,0,100,1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
2,equip_name_2,美屡的测试T0.5肩膀,equip_detail_2,肩膀,4,-1,equip_level_20+item_icon_02,12,1,1,20,1,0,0,0,100,1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
3,equip_name_3,美屡的测试T0.5披风,equip_detail_3,披风,8,-1,equip_level_20+item_icon_06,12,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
4,equip_name_4,美屡的测试T0.5胸甲,equip_detail_4,胸,5,-1,equip_level_20+item_icon_03,12,1,1,20,1,0,0,0,100,1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
5,equip_name_5,美屡的测试T0.5护腕,equip_detail_5,护腕,6,-1,equip_level_20+item_icon_04,12,1,1,20,1,0,0,0,100,1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
6,equip_name_6,美屡的测试T0.5鞋子,equip_detail_6,鞋子,7,-1,equip_level_20+item_icon_05,12,1,1,20,1,0,0,0,100,1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
7,equip_name_7,美屡的测试T0.5枪,equip_detail_7,枪,1,5,equip_level_20+item_icon_06,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
8,equip_name_8,哀木涕的测试T0.5剑,equip_detail_8,哀木涕,12,10,equip_level_20+item_icon_01,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
9,equip_name_9,哀木涕的测试T0.5盾,equip_detail_9,哀木涕,2,14,equip_level_20+item_icon_02,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
