id,desc,common,group,pro_stage,copy_id,icon,icon_position,monster_id,boss_id,drop
id,描述,备注,group,后置关卡,所属副本,关卡ICON,关卡ICON,关卡BOSS,关卡BOSS,掉落
int,string,string,int,int,int,string,string,int,int,int
1,gw_boss_name_1,高阶祭司耶克里克,0,2,0,con_map_point_blue,-238;-51,6301,38244,801
2,gw_boss_name_2,高阶祭司温诺希斯,0,3,0,con_map_point_blue,-206;51,6302,38245,802
3,gw_boss_name_3,高阶祭司玛尔里,0,4,0,con_map_point_blue,-133;74,6303,38246,803
4,gw_boss_name_4,血领主曼多基尔,0,5,0,con_map_point_blue,-60;75,6304,38247,804
5,gw_boss_name_5,格里雷克,0,6,0,con_map_point_blue,-74;-26,6305,38250,805
6,gw_boss_name_6,加兹兰卡,0,7,0,con_map_point_blue,-8;-80,6306,38253,806
7,gw_boss_name_7,高阶祭司塞卡尔,0,8,0,con_map_point_blue,69;-86,6307,38254,807
8,gw_boss_name_8,高阶祭司娅尔罗,0,9,0,con_map_point_blue,146;-79,6308,38257,808
9,gw_boss_name_9,妖术师金度,0,10,0,con_map_point_blue,222;-30,6309,38258,809
10,gw_boss_name_10,哈卡,0,-1,0,con_map_point_blue,199;70,6310,38259,810
11,gw_boss_name_11,库林纳克斯,1,12,1,con_map_point_blue,-230;-8,6341,38267,841
12,gw_boss_name_12,拉贾克斯将军,1,13,1,con_map_point_blue,-127;74,6342,38268,842
13,gw_boss_name_13,莫阿姆,1,14,1,con_map_point_blue,-72;-49,6343,38269,843
14,gw_boss_name_14,吞咽者布鲁,1,15,1,con_map_point_blue,47;-92,6344,38270,844
15,gw_boss_name_15,狩猎者阿亚米斯,1,16,1,con_map_point_blue,170;-76,6345,38271,845
16,gw_boss_name_16,无疤者奥斯里安,1,-1,1,con_map_point_blue,215;52,6346,38272,846
17,gw_boss_name_17,奥妮克希亚,3,-1,3,con_map_point_blue,113;-93,6361,38281,861
21,gw_boss_name_18,鲁西弗隆,2,22,2,con_map_point_blue,-242;-28,6321,38214,823
22,gw_boss_name_19,玛格曼达,2,23,2,con_map_point_blue,-181;-51,6322,38215,824
23,gw_boss_name_20,基赫纳斯,2,24,2,con_map_point_blue,-111;-52,6323,38216,825
24,gw_boss_name_21,加尔,2,25,2,con_map_point_blue,-44;-27,6324,38217,826
25,gw_boss_name_22,迦顿男爵,2,26,2,con_map_point_blue,13;40,6325,38218,827
26,gw_boss_name_23,萨斯拉尔,2,27,2,con_map_point_blue,72;100,6326,38219,828
27,gw_boss_name_24,萨弗隆先驱者,2,28,2,con_map_point_blue,145;104,6327,38220,829
28,gw_boss_name_25,焚化者古雷曼格,2,29,2,con_map_point_blue,205;52,6328,38221,830
29,gw_boss_name_26,管理者埃克索图斯,2,30,2,con_map_point_blue,165;-19,6329,38222,831
30,gw_boss_name_27,拉格纳罗斯,2,-1,2,con_map_point_red,112;-88,6330,38223,832
31,gw_boss_name_28,狂野的拉佐格尔,4,32,4,con_map_point_blue,-117;-107,6361,38281,861
32,gw_boss_name_29,堕落的瓦拉斯塔兹,4,33,4,con_map_point_blue,-197;-51,6361,38281,861
33,gw_boss_name_30,勒什雷尔,4,34,4,con_map_point_blue,-174;40,6361,38281,861
34,gw_boss_name_31,费尔默,4,35,4,con_map_point_blue,-90;50,6361,38281,861
35,gw_boss_name_32,埃博诺克,4,36,4,con_map_point_blue,-9;-6,6361,38281,861
36,gw_boss_name_33,弗莱格尔,4,37,4,con_map_point_blue,72;-63,6361,38281,861
37,gw_boss_name_34,克洛玛古斯,4,38,4,con_map_point_blue,156;-60,6361,38281,861
38,gw_boss_name_35,奈法利安,4,39,4,con_map_point_blue,206;28,6361,38281,861
40,gw_boss_name_36,预言者斯克拉姆,5,-1,5,con_map_point_red,-110;-105,6361,38281,861
41,gw_boss_name_37,维姆,5,42,5,con_map_point_blue,-184;-64,6361,38281,861
42,gw_boss_name_38,沙尔图拉,5,43,5,con_map_point_blue,-185;30,6361,38281,861
43,gw_boss_name_39,不屈的范克里斯,5,44,5,con_map_point_blue,-110;61,6361,38281,861
44,gw_boss_name_40,维希度斯,5,45,5,con_map_point_blue,-36;18,6361,38281,861
45,gw_boss_name_41,哈霍兰公主,5,46,5,con_map_point_blue,33;-31,6361,38281,861
46,gw_boss_name_42,维克洛尔大帝,5,47,5,con_map_point_blue,108;-74,6361,38281,861
47,gw_boss_name_43,奥罗,5,48,5,con_map_point_blue,182;-55,6361,38281,861
48,gw_boss_name_44,克苏恩,5,-1,5,con_map_point_blue,201;39,6361,38281,861
51,gw_boss_name_45,阿努布雷坎,6,52,6,con_map_point_blue,-240;-40,6361,38281,861
52,gw_boss_name_46,黑女巫法琳娜,6,53,6,con_map_point_blue,-209;53,6361,38281,861
53,gw_boss_name_47,麦克斯纳,6,54,6,con_map_point_blue,-131;113,6361,38281,861
54,gw_boss_name_48,药剂师诺斯,6,55,6,con_map_point_blue,-55;96,6361,38281,861
55,gw_boss_name_49,肮脏的希尔盖,6,56,6,con_map_point_blue,-31;9,6361,38281,861
56,gw_boss_name_50,洛欧塞布,6,57,6,con_map_point_blue,-103;-22,6361,38281,861
57,gw_boss_name_51,帕奇维克,6,58,6,con_map_point_blue,-154;-86,6361,38281,861
58,gw_boss_name_52,格罗布鲁斯,6,59,6,con_map_point_blue,-74;-121,6361,38281,861
59,gw_boss_name_53,格拉斯,6,60,6,con_map_point_blue,4;-123,6361,38281,861
60,gw_boss_name_54,塔迪乌斯,6,61,6,con_map_point_red,83;-120,6361,38281,861
61,gw_boss_name_55,教官拉苏维奥斯,6,62,6,con_map_point_blue,162;-109,6361,38281,861
62,gw_boss_name_56,收割者戈提克,6,63,6,con_map_point_blue,245;-89,6361,38281,861
63,gw_boss_name_57,大领主莫格莱尼,6,64,6,con_map_point_blue,240;9,6361,38281,861
64,gw_boss_name_58,萨菲隆,6,65,6,con_map_point_blue,165;56,6361,38281,861
65,gw_boss_name_59,克尔苏加德,6,-1,6,con_map_point_red,93;98,6361,38281,861

