fragment_id,fragment_amount,hero_id,star,color,smelt_amount,common
碎片id,碎片数量,英雄id,星级,颜色,分解数量,备注
int,int,int,int,int,int,string
20234002,80,10001,3,1,30,美屡
20234003,10,10002,1,1,7,哀木涕
20234004,80,10003,3,1,30,兽战
20234005,30,10004,2,1,18,会长
20234006,10,10005,1,1,7,暗夜男
20234007,80,10006,3,1,30,沉鱼
20234008,80,10007,3,1,30,桶牛
20234009,10,10008,1,1,7,地中海
20234010,10,10009,1,1,7,傻馒
20234011,80,10010,3,1,30,炮姐
20234012,80,10012,3,1,30,冬
20234013,30,10013,2,1,18,劣人
20234014,10,10014,1,1,7,方砖
20234015,30,10015,2,1,18,五火教主
20234016,10,10016,1,1,7,羞花
20234017,30,10017,2,1,18,法丝
20234018,80,10018,3,1,30,女德
20234019,30,10019,2,1,18,神棍德
20234020,80,10020,3,1,30,花花
20234021,30,10023,2,1,18,娇花
20234022,10,10026,1,1,7,沐丝
20234023,80,10027,3,1,30,闭月
20234024,10,10028,1,1,7,大小姐
20234025,30,10029,2,1,18,圣光棍棍
20234026,80,10030,3,1,30,大大姐
20234027,80,10031,3,1,30,老相好
20234028,80,10032,3,1,30,女贼
20234029,10,10033,1,1,7,呆贼
20234030,80,10034,3,1,30,落雁
20234031,30,10035,2,1,18,三颤

