id,name,desc,effect_path,effect_point,trigger_effect_path,trigger_effect_point,impact_logic,buff_tar_logic.sort_type,buff_tar_logic.target_camp,buff_tar_logic.range,buff_tar_logic.min_count,buff_tar_logic.max_count,buff_tar_logic.area_type,buff_tar_logic.param_1,effect_type,max_layer,mutex_id,priority,last_time,trigger_freq,effect_times,param_type0,param_value0,param_type1,param_value1,param_type2,param_value2,param_type3,param_value3,param_type4,param_value4
效果id,效果名字,描述,特效路径,特效位置类型,触发特效路径,触发特效位置类型,类型，用来对应程序的逻辑,目标选择逻辑,目标选取阵营,攻击距离(毫米),最少目标个数(不够就重复填充),最多目标个数,区域类型,无目标时指定战场定位点. 扇形区域的角度值  ,属性-1=减益0=普通1=增益,最大叠加层数,互斥ID,优先级,持续时间,触发频率,生效次数,作用类型,作用值,修正类型,修正值,整型参数2,浮点参数2,整型参数3,浮点参数3,整型参数4,浮点参数4
int,string,string,string,int,string,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,float,int,float,int,float,int,float,int,float
1,持续伤害,持续伤害,null,0,null,0,pulse_level2,0,0,0,0,0,0,0,-1,1,1,0,5000,500,10,1,11.0,0,0.0,0,0.0,0,0.0,0,0.0
2,持续加血,持续加血,null,0,null,0,pulse_level2,0,0,0,0,0,0,0,1,1,2,0,5000,500,10,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0
3,提升暴击,提升暴击,null,0,null,0,continue_level2,0,0,0,0,0,0,0,1,1,3,0,120000,0,0,8,5.0,0,0.0,0,0.0,0,0.0,0,0.0
4,提升命中,提升命中,null,0,null,0,continue_level2,0,0,0,0,0,0,0,1,1,4,0,5000,0,0,6,10.0,0,0.0,0,0.0,0,0.0,0,0.0
5,晕眩,晕眩,null,0,null,0,continue_state,0,0,0,0,0,0,0,-1,1,5,0,5000,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6,持续伤害,每次造成技能最终伤害的30%的伤害,null,0,null,0,pulse_level2,0,0,0,0,0,0,0,-1,1,6,0,5000,500,10,0,0.0,1,30.0,0,0.0,0,0.0,0,0.0
7,持续伤害,每次造成技能最终伤害的+30的伤害,null,0,null,0,pulse_level2,0,0,0,0,0,0,0,-1,1,7,0,5000,500,10,0,0.0,2,30.0,0,0.0,0,0.0,0,0.0
8,单次加血,单次加血100,null,0,null,0,once_level2,0,0,0,0,0,0,0,1,1,8,0,0,0,0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
9,盾墙,持续8秒，受到的所有伤害降低40%。,res/effect/mt_skill4_dun.effect,1,null,0,continue_level2,0,0,0,0,0,0,0,1,1,9,0,8000,0,0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0
10,嘲讽,嘲讽范围内目标,res/effect/mt_skill3_01.effect,2,null,0,continue_level2,0,0,0,0,0,0,0,1,1,10,0,3000,0,0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0
11,被嘲讽,被嘲讽攻击目标3秒。,res/effect/mt_skill3_buff.effect,2,null,0,add_status,0,0,0,0,0,0,0,1,1,11,0,3000,0,0,3,1.0,0,0.0,4,0.0,0,0.0,0,0.0
12,降低移动速度,降低移动速度50%，持续8秒,res/effect/sm_skill2.effect,1,null,0,continue_level2,0,0,0,0,0,0,0,-1,1,12,0,8000,0,0,10,0.0,1,50.0,0,0.0,0,0.0,0,0.0
13,炸弹,到期后对3米内的目标造成100点伤害,res/effect/sm_skill2.effect,1,null,0,once_bomb,1,1,5006,1,5,0,0,-1,1,13,0,3000,0,0,1,100.0,1,3.0,0,0.0,0,0.0,0,0.0
14,真言盾,吸收伤害，立即为队友加上魔法护盾，可吸收605点伤害，持续30秒。只要护盾存在，受保护者的施法就不会被物理攻击打断。,res/effect/ms_skill2.effect,0,null,0,magic_armor_to_shield,0,0,0,0,0,0,0,1,1,14,0,5000,0,0,0,0.25,0,0.0,0,0.0,0,0.0,0,0.0
15,单次加血,单次加血50,null,0,null,0,once_level2,0,0,0,0,0,0,0,1,1,15,0,0,0,0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
16,单次扣血50,单次扣血50,null,0,null,0,once_level2,0,0,0,0,0,0,0,-1,1,16,0,0,0,0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
17,毒蛇钉刺,15秒内，每3秒造成一次法术伤害。,res/effect/lr_skill3_buff.effect,1,null,0,continue_level2,0,0,0,0,0,0,0,-1,1,17,0,10000,2000,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
