id,name,tip,icon,description,common,group,type,quality,block_max_count,can_destroy,can_sale,coin,min_level_limit,max_level_limit,level,can_use,impact,cool_down,life_time,value,script_id,param_0,param_1,function,can_multi
物品id,名称,备注,图标,描述,备注,子类型,类型,品质,叠加数量,可否丢弃,出售类型,单个出售价钱,需求等级下限,需求等级上限,物品等级,可否使用,效果iD,CD(毫秒),生命期(秒),变量,服务器脚本号,脚本参数0,脚本参数1,string,可否批量使用
int,string,string,string,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,int
20121001,item_name_20121001,初级经验药水,item_potion+icon_item_jyys_01,item_detail_20121001,材料：提升英雄10000点经验值。（对主角无效）,0,1,1,9999,1,29910001,1,1,999,5,0,-1,0,-1,-1,-1,-1,-1,item_function_20121001,0
20121002,item_name_20121002,次级经验药水,item_potion+icon_item_jyys_02,item_detail_20121002,材料：提升英雄50000点经验值。（对主角无效）,0,1,2,9999,1,29910001,3,15,999,20,0,-1,0,-1,-1,-1,-1,-1,item_function_20121002,0
20121003,item_name_20121003,强效经验药水,item_potion+icon_item_jyys_03,item_detail_20121003,材料：提升英雄250000点经验值。（对主角无效）,0,1,3,9999,1,29910001,6,35,999,40,0,-1,0,-1,-1,-1,-1,-1,item_function_20121003,0
20121004,item_name_20121004,特效经验药水 ,item_potion+icon_item_jyys_04,item_detail_20121004,材料：提升英雄1000000点经验值。（对主角无效）,0,1,4,9999,1,29910001,10,55,999,60,0,-1,0,-1,-1,-1,-1,-1,item_function_20121004,0
20122001,item_name_20122001,初级治疗药水,item_potion+icon_item_zlys_01,item_detail_20122001,使用：恢复5%+40生命值。（30秒冷却）,1,4,1,9999,1,29910001,1,1,999,5,0,-1,30000,-1,-1,1502,50,40,item_function_20122001,0
20122002,item_name_20122002,次级治疗药水,item_potion+icon_item_zlys_02,item_detail_20122002,使用：恢复10%+200生命值。（30秒冷却）,1,4,2,9999,1,29910001,3,15,999,20,0,-1,30000,-1,-1,1502,100,200,item_function_20122002,0
20122003,item_name_20122003,强效治疗药水,item_potion+icon_item_zlys_03,item_detail_20122003,使用：恢复15%+1000生命值。（30秒冷却）,1,4,3,9999,1,29910001,6,35,999,40,0,-1,30000,-1,-1,1502,150,1000,item_function_20122003,0
20122004,item_name_20122004,特效治疗药水 ,item_potion+icon_item_zlys_04,item_detail_20122004,使用：恢复20%+5000生命值。（30秒冷却）,1,4,4,9999,1,29910001,10,55,999,60,0,-1,30000,-1,-1,1502,200,5000,item_function_20122004,0
20123001,item_name_20123001,魔法松饼,item_potion+icon_item_mfmb_01,item_detail_20123001,战斗外使用，可回复英雄1000点气血值（限制1-14级使用）,2,1,1,9999,1,29910001,1,1,999,5,1,1001,5000,-1,-1,-1,-1,-1,item_function_20123001,0
20123002,item_name_20123002,魔法面包,item_potion+icon_item_mfmb_02,item_detail_20123002,战斗外使用：可回复英雄10000点气血值（限制15-34级使用）,2,1,2,9999,1,29910001,3,15,999,20,1,1001,5000,-1,-1,-1,-1,-1,item_function_20123002,0
20123003,item_name_20123003,魔法粗面包,item_potion+icon_item_mfmb_03,item_detail_20123003,战斗外使用：5秒内恢复生命至100%。（限制35-54级使用）,2,1,3,9999,1,29910001,6,35,999,40,0,1001,5000,-1,-1,-1,-1,-1,item_function_20123003,0
