market_id,group,icon,common,gen_level,type,count_group_0,count_group_1,count_group_2,count_group_3,count_group_4,count_group_5,refresh_token,token_count,refresh_count,refresh_cd,refresh_rate,open
配置索引,商店名,商店icon,注释,出现等级,类型(0-固定1-随机),组-0,组-1,组-2,组-3,组-4,组-5,刷新道具ID,刷新初始需求数量,日刷新次数,刷新间隔(s),出现概率,开关
int,string,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int
0,market_grname_0,item_token+token_icon_jyt_03,宝石商店,0,0,0,0,0,0,0,0,-1,0,0,-1,100,1
1,market_grname_1,item_token+token_icon_zyd,公会商店,0,0,0,0,0,0,0,0,-1,0,0,-1,100,1
2,market_grname_2,item_token+token_icon_ry,装备商店,0,0,0,0,0,0,0,0,-1,0,0,-1,100,1
3,market_grname_3,item_token+token_icon_ghgx,正义商店,0,1,1,1,1,1,1,1,29910016,20,9999,86400,100,1
4,market_grname_4,item_token+token_icon_ry,荣誉商店,0,1,1,1,1,1,1,1,29910003,20,9999,86400,100,1
5,market_grname_5,item_token+token_icon_jyt_02,任务商店,0,0,0,0,0,0,0,0,-1,0,0,-1,100,1
6,market_grname_6,item_token+token_icon_fs,商城,0,0,0,0,0,0,0,0,-1,0,0,-1,100,1
7,market_grname_7,item_token+token_icon_xyz,神秘商店,0,1,1,2,1,0,0,0,-1,0,0,-1,100,1
8,market_grname_8,item_token+token_icon_jyt_01,杂货店,0,0,0,0,0,0,0,0,-1,0,0,-1,100,0
9,market_grname_9,item_token+token_icon_hyd,月卡商店,0,0,0,0,0,0,0,0,-1,0,0,-1,100,1
10,market_grname_10,item_token+token_icon_yhd,积分商店,0,0,0,0,0,0,0,0,-1,0,0,-1,100,1
11,market_grname_11,jz_mission+jz_mission_yxhp,卷轴商店,0,1,1,1,1,1,1,1,29910002,20,9999,86400,100,1
12,market_grname_12,item_token+token_icon_xyz,限时商店,0,1,5,1,1,1,0,0,-1,0,0,-1,100,1

