id,pre_id_0,pre_id_1,pre_id_2,pre_id_3,title,icon,simple_desc,accept_desc,desc,finish_type,param_0,param_1,param_2,param_3,accept_show,type,is_open,group,open_level,count_limit,adapt_level,circle,rate,can_drop,publish_npc_id,commit_npc_id,exp,exp_rate,gold,gold_rate,package_id,roll_drop,show_reward_0,show_reward_1,show_reward_2,show_reward_3,show_reward_4,fail_text,pre_text_0,pre_action_0,pre_isnpc_0,pre_text_1,pre_action_1,pre_isnpc_1,pre_text_2,pre_action_2,pre_isnpc_2,pre_text_3,pre_action_3,pre_isnpc_3,pre_text_4,pre_action_4,pre_isnpc_4,finish_text_0,finish_action_0,finish_isnpc_0,finish_text_1,finish_action_1,finish_isnpc_1,finish_text_2,finish_action_2,finish_isnpc_2,finish_text_3,finish_action_3,finish_isnpc_3,finish_text_4,finish_action_4,finish_isnpc_4,AccecptDialogType,get_text_0,get_action_0,get_isnpc_0,get_text_1,get_action_1,get_isnpc_1,get_text_2,get_action_2,get_isnpc_2,get_text_3,get_action_3,get_isnpc_3,get_text_4,get_action_4,get_isnpc_4,animaion_pos,animation_id,other_npc_group
任务ID,前置任务ID1,前置任务ID2,前置任务ID3,前置任务ID4,任务标题,icon,任务简介,任务简介,任务描述,完成条件,参数值0,参数值1,参数2,参数3,接取显示,任务分类,是否出现,任务组,触发等级,人数限制,是否等级适配数值,所属环数,任务权重,可否放弃,发布任务NPCID,提交NPCID,经验奖励,倍率参数,金钱奖励,倍率参数,掉落包ID,团队掉落,展示奖励,展示奖励,展示奖励,展示奖励,展示奖励,失败对话,前置对话1,动作1,玩家orNPC,前置对话2,动作2,玩家orNPC,前置对话3,动作3,玩家orNPC,前置对话4,动作4,玩家orNPC,前置对话5,动作5,玩家orNPC,提交对话1,动作1,玩家or提交NPC,提交对话2,动作2,玩家or提交NPC,提交对话3,动作3,玩家or提交NPC,提交对话4,动作4,玩家or提交NPC,提交对话5,动作5,玩家or提交NPC,发布任务时机,发布对话1,动作1,玩家or发布NPC,发布对话2,动作2,玩家or发布NPC,发布对话3,动作3,玩家or发布NPC,发布对话4,动作4,玩家or发布NPC,发布对话5,动作5,玩家or发布NPC,插入动画位置,动画ID,龙套NPC组
int,int,int,int,int,string,string,string,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,float,int,float,int,int,int,int,int,int,int,string,string,int,int,string,int,int,string,int,int,string,int,int,string,int,int,string,int,int,string,int,int,string,int,int,string,int,int,string,int,int,int,string,int,int,string,int,int,string,int,int,string,int,int,string,int,int,int,int,int
1001,-1,-1,-1,-1,mis_title_1001,target_reward+icon_item_zml_02,mis_sim_1001,mis_sim_0,mis_desc_1001,0,-1,-1,-1,-1,0,0,1,-1,-1,1,-1,-1,-1,-1,-1,1,200,1.0,200,1.0,-1,-1,29910008,29910001,-1,-1,-1,mis_fail_1001,mis_pre_1001_1,-1,-1,mis_pre_1001_2,-1,-1,mis_pre_1001_3,-1,-1,mis_pre_1001_4,-1,-1,mis_pre_1001_5,-1,-1,mis_fin_1001_1,-1,30001,mis_fin_1001_2,-1,-1,mis_fin_1001_3,-1,-1,mis_fin_1001_4,-1,-1,mis_fin_1001_5,-1,-1,2,mis_get_1001_1,-1,30001,mis_get_1001_2,-1,-1,mis_get_1001_3,-1,-1,mis_get_1001_4,-1,-1,mis_get_1001_5,-1,-1,-1,-1,-1
9901,-1,-1,-1,-1,mis_title_9901,target_reward+icon_item_zml_02,mis_sim_9901,"",mis_desc_9901,2,1101,-1,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,-1,2000,1.0,332,1.0,-1,-1,-1,-1,-1,-1,-1,"","",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,-1
9902,9901,-1,-1,-1,mis_title_9902,target_reward+icon_item_zml_02,mis_sim_9902,"",mis_desc_9902,12,2,-1,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,0,600,1.0,99,1.0,-1,-1,-1,-1,-1,-1,-1,"",mis_pre_9902_1,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_9902_1,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,-1
9951,-1,-1,-1,-1,mis_title_9951,target_reward+icon_item_zml_02,mis_sim_9951,"",mis_desc_9951,2,1104,-1,-1,-1,0,0,1,0,-1,1,-1,-1,-1,-1,-1,-1,2000,1.0,332,1.0,-1,-1,-1,-1,-1,-1,-1,"","",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,-1
9952,9951,-1,-1,-1,mis_title_9952,target_reward+icon_item_zml_02,mis_sim_9952,"",mis_desc_9952,12,2,-1,-1,-1,0,0,1,0,-1,1,-1,-1,-1,-1,-1,0,600,1.0,99,1.0,-1,-1,-1,-1,-1,-1,-1,"",mis_pre_9952_1,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_9952_1,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,-1
10001,9902,-1,-1,-1,mis_title_10001,target_reward+icon_item_zml_02,mis_sim_10001,"",mis_desc_10001,7,10501,541,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,-1,6000,1.0,909,1.0,2009,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10001_1,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10001_1,-1,36354,mis_get_10001_2,-1,0,mis_get_10001_3,-1,36354,mis_get_10001_4,-1,0,mis_get_10001_5,-1,36354,-1,-1,-1
10002,-1,-1,-1,-1,mis_title_10002,target_reward+icon_item_zml_02,mis_sim_10002,"",mis_desc_10002,12,1,-1,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,0,0,1.0,0,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10002_1,-1,36354,mis_pre_10002_2,-1,0,mis_pre_10002_3,-1,36354,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10002_1,-1,36354,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,-1
10003,-1,-1,-1,-1,mis_title_10003,target_reward+icon_item_zml_02,mis_sim_10003,"",mis_desc_10003,7,10503,543,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,-1,0,1.0,0,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10003_1,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10003_1,-1,36120,mis_get_10003_2,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,-1
