index,sub_type,pos_param,monster_0,monster_1,monster_2,monster_3,item_0,item_1,item_2,item_3,rate_0,rate_1,rate_2,rate_3,count_0,count_1,count_2,count_3
唯一索引,子任务类型,地点参数,怪物参数,怪物参数,怪物参数,怪物参数,道具参数,道具参数,道具参数,道具参数,概率参数,概率参数,概率参数,概率参数,任务需求数量,任务需求数量,任务需求数量,任务需求数量
int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,1,60201,30111,30112,-1,-1,28910002,28910003,-1,-1,50,50,-1,-1,2,2,-1,-1
2,3,2,-1,-1,-1,-1,28910004,-1,-1,-1,50,-1,-1,-1,5,-1,-1,-1
3,2,60201,-1,-1,-1,-1,28910005,-1,-1,-1,50,-1,-1,-1,5,-1,-1,-1
4,4,60201,30111,30112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
5,1,60103,30364,-1,-1,-1,28910006,-1,-1,-1,100,-1,-1,-1,1,-1,-1,-1
6,4,60103,30364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
11,4,60301,30501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1
12,1,60303,30505,30507,-1,-1,28910012,28910013,-1,-1,5000,5000,-1,-1,3,3,-1,-1
13,1,60305,30591,-1,-1,-1,28910014,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
14,1,60308,30515,-1,-1,-1,28910015,-1,-1,-1,5000,-1,-1,-1,4,-1,-1,-1
15,1,60308,30592,-1,-1,-1,28910016,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
16,4,60302,30587,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
17,4,60303,30589,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
18,4,60304,30588,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
19,4,60305,30514,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1
20,1,60301,30586,-1,-1,-1,28910019,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
21,1,60307,30516,30593,-1,-1,28910020,28910021,-1,-1,5000,10000,-1,-1,4,1,-1,-1
22,4,60113,30203,30204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1
23,1,60113,30233,-1,-1,-1,28910025,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
24,1,60111,30201,30202,30231,-1,28910027,28910028,28910029,-1,10000,10000,10000,-1,2,2,1,-1
25,1,60115,30205,30206,30235,-1,28910030,28910031,28910032,-1,10000,10000,10000,-1,2,2,1,-1
26,1,60112,30202,-1,-1,-1,28910033,-1,-1,-1,10000,-1,-1,-1,2,-1,-1,-1
27,1,60112,30232,-1,-1,-1,28910034,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
28,1,60114,30205,-1,-1,-1,28910035,-1,-1,-1,10000,-1,-1,-1,3,-1,-1,-1
29,1,60114,30234,-1,-1,-1,28910036,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
30,3,5,-1,-1,-1,-1,28910037,-1,-1,-1,10000,-1,-1,-1,8,-1,-1,-1
31,1,60213,30468,-1,-1,-1,28910038,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
32,4,60215,30408,30409,30470,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,6,1,-1
