id,group,level,,,,,,,,,,,,battle_info.endurance,battle_info.physical_strength,battle_info.agile,battle_info.intelligence,battle_info.spirit,battle_info.hp,battle_info.physical_attack,battle_info.magic_attack,battle_info.physical_armor,battle_info.magic_armor,battle_info.critical,battle_info.toughness,battle_info.accurate,battle_info.dodge,battle_info.move_speed,battle_info.attack_speed,battle_info.skill
唯一id,属性索引,属性等级,难度,特征,生命修正,攻强修正,法强修正,护甲修正,抗性修正,暴击修正,韧性修正,命中修正,闪避修正,耐力,力量,敏捷,智力,精神,生命,攻强,法强,护甲,抗性,爆击,韧性,命中,闪避,移动速度,攻击速度,技能属性
int,int,int,int,int,float,float,float,float,float,float,float,float,float,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
0,0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,5,5,5,5,135,41,41,13,13,12,12,14,12,-1,-1,-1
1,0,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,7,7,7,7,165,50,50,15,15,18,18,22,18,-1,-1,-1
2,0,3,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,9,9,9,9,195,59,59,17,17,24,24,29,24,-1,-1,-1
3,0,4,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,11,11,11,11,225,68,68,18,18,30,30,36,30,-1,-1,-1
4,0,5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,14,14,14,14,293,88,88,25,25,36,36,43,36,-1,-1,-1
5,0,6,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,16,16,16,16,323,97,97,27,27,42,42,50,42,-1,-1,-1
6,0,7,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27,18,18,18,18,353,106,106,28,28,48,48,58,48,-1,-1,-1
7,0,8,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30,20,20,20,20,383,115,115,30,30,54,54,65,54,-1,-1,-1
8,0,9,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33,22,22,22,22,413,124,124,31,31,60,60,72,60,-1,-1,-1
