id,scene_id,note,mission_id,monsters_0.id,monsters_0.loc,monsters_1.id,monsters_1.loc,monsters_2.id,monsters_2.loc,monsters_3.id,monsters_3.loc,monsters_4.id,monsters_4.loc,monsters_5.id,monsters_5.loc,monsters_6.id,monsters_6.loc,monsters_7.id,monsters_7.loc,monsters_8.id,monsters_8.loc,monsters_9.id,monsters_9.loc,monsters_10.id,monsters_10.loc,monsters_11.id,monsters_11.loc,monsters_12.id,monsters_12.loc,monsters_13.id,monsters_13.loc,monsters_14.id,monsters_14.loc,package_id_0,display_0,package_weight_0,package_id_1,display_1,package_weight_1,package_id_2,display_2,package_weight_2,package_id_3,display_3,package_weight_3,package_id_4,display_4,package_weight_4
ID,场景ID,备注,关联任务id,怪物1ID,站位,怪物2ID,站位,怪物3ID,站位,怪物4ID,站位,怪物5ID,站位,怪物6ID,站位,怪物7ID,站位,怪物8ID,站位,怪物9ID,站位,怪物10ID,站位,怪物11ID,站位,怪物12ID,站位,怪物13ID,站位,怪物14ID,站位,怪物15ID,站位,掉落包id,display_0,概率,掉落包id,display_1,概率,掉落包id,display_2,概率,掉落包id,display_3,概率,掉落包id,display_4,概率
int,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,4,死亡矿井,-1,30001,0,-1,1,30001,2,-1,3,-1,4,-1,5,-1,6,-1,7,-1,8,-1,9,-1,10,30002,11,-1,12,-1,13,-1,14,1,1,4000,24,0,8000,6,0,8000,7,0,10000,13,0,1000
2,4,死亡矿井,-1,-1,0,-1,1,-1,2,-1,3,-1,4,-1,5,-1,6,-1,7,-1,8,-1,9,30005,10,30007,11,-1,12,-1,13,-1,14,2,1,4000,25,0,8000,19,0,8000,8,0,10000,14,0,1000
3,4,死亡矿井,-1,30004,0,-1,1,-1,2,-1,3,-1,4,-1,5,-1,6,-1,7,-1,8,-1,9,-1,10,-1,11,-1,12,-1,13,-1,14,3,1,4000,26,0,8000,20,0,8000,9,0,10000,15,0,1000
4,4,死亡矿井,-1,30006,0,-1,1,-1,2,-1,3,-1,4,-1,5,-1,6,-1,7,-1,8,-1,9,30005,10,30007,11,-1,12,-1,13,-1,14,4,1,4000,27,0,8000,21,0,8000,10,0,10000,16,0,1000
5,4,死亡矿井,-1,30008,0,-1,1,-1,2,-1,3,-1,4,-1,5,-1,6,-1,7,-1,8,-1,9,-1,10,-1,11,-1,12,-1,13,-1,14,5,1,4000,28,0,8000,22,0,8000,11,0,10000,17,0,1000
6,4,死亡矿井,-1,30001,0,-1,1,30001,2,-1,3,-1,4,-1,5,-1,6,-1,7,-1,8,-1,9,-1,10,30002,11,-1,12,-1,13,-1,14,1,1,4000,24,0,8000,23,0,8000,12,0,10000,18,0,1000
7,4,死亡矿井,-1,30008,0,-1,1,-1,2,-1,3,-1,4,-1,5,-1,6,-1,7,-1,8,-1,9,30005,10,30007,11,-1,12,-1,13,-1,14,2,1,4000,25,0,8000,6,0,8000,7,0,10000,13,0,1000
8,4,死亡矿井,-1,30006,0,-1,1,-1,2,-1,3,-1,4,-1,5,-1,6,-1,7,-1,8,-1,9,30005,10,30007,11,-1,12,-1,13,-1,14,3,1,4000,26,0,8000,19,0,8000,8,0,10000,14,0,1000
9,2,艾尔文森林,-1,-1,0,-1,1,-1,2,-1,3,-1,4,30014,5,-1,6,30013,7,-1,8,-1,9,-1,10,-1,11,-1,12,-1,13,30009,14,4,1,4000,27,0,8000,20,0,8000,9,0,10000,15,0,1000
10,2,艾尔文森林,-1,-1,0,-1,1,-1,2,-1,3,-1,4,-1,5,-1,6,-1,7,-1,8,-1,9,-1,10,-1,11,-1,12,30014,13,30013,14,5,1,4000,28,0,8000,21,0,8000,10,0,10000,16,0,1000
11,2,艾尔文森林,-1,-1,0,-1,1,-1,2,-1,3,-1,4,30011,5,30003,6,-1,7,-1,8,-1,9,-1,10,-1,11,-1,12,-1,13,-1,14,1,1,4000,24,0,8000,22,0,8000,11,0,10000,17,0,1000
12,2,艾尔文森林,-1,-1,0,-1,1,-1,2,-1,3,-1,4,30010,5,-1,6,-1,7,-1,8,-1,9,-1,10,-1,11,-1,12,30009,13,30009,14,2,1,4000,25,0,8000,23,0,8000,12,0,10000,18,0,1000
13,2,艾尔文森林,-1,-1,0,-1,1,-1,2,-1,3,-1,4,30009,5,-1,6,-1,7,-1,8,-1,9,-1,10,-1,11,-1,12,-1,13,-1,14,3,1,4000,26,0,8000,6,0,8000,7,0,10000,13,0,1000
14,2,艾尔文森林,-1,-1,0,-1,1,-1,2,-1,3,-1,4,30010,5,-1,6,30010,7,-1,8,-1,9,-1,10,-1,11,-1,12,-1,13,30009,14,4,1,4000,27,0,8000,19,0,8000,8,0,10000,14,0,1000
