id,name,note,description,,client_res_id,monster_class,icon,resource,scale,radius,life_time,npc_type,monster_type,rage_time,level,attack_type,display_type,adapt_group,,,,,,,,,,,,,,,exp_drop,gold_drop,battle_info.endurance,battle_info.physical_strength,battle_info.agile,battle_info.intelligence,battle_info.spirit,battle_info.hp,battle_info.physical_attack,battle_info.magic_attack,battle_info.physical_armor,battle_info.magic_armor,battle_info.critical,battle_info.toughness,battle_info.accurate,battle_info.dodge,battle_info.move_speed,battle_info.attack_speed,battle_info.skill,ai_strategy,skill_ids_0,skill_ids_1,skill_ids_2,skill_ids_3,skill_ids_4,skill_ids_5,skill_ids_6,skill_ids_7,skill_ids_8,skill_ids_9,MainWeapon,ViceWeapon,Helmet,Shoulder,Chest,Manteau,Arm,Shoe
ID,怪物,备注,BOSS描述,备注,客户端资源id,任务指定怪物id,ICON,模型资源,模型缩放,模型半径,生存时间毫秒(0表示不受影响),类型1,类型2,狂暴时间,等级,攻击方式,类别,自适应属性id,属性等级,难度,特征,生命修正,攻强修正,法强修正,护甲修正,抗性修正,暴击修正,韧性修正,命中修正,闪避修正,经验修正,金币修正,怪物经验,掉落金币,耐力,力量,敏捷,智力,精神,生命,攻强,法强,护甲,抗性,爆击,韧性,命中,闪避,移动速度,攻击速度,技能属性,AI脚本,技能1,技能2,技能3,技能4,技能5,技能6,技能7,技能8,技能9,技能10,主手,副手,头,肩,胸,背,腕,脚
int,string,string,string,string,int,int,string,string,float,float,int,int,int,int,int,int,int,int,int,int,int,float,float,float,float,float,float,float,float,float,float,float,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,string,string,string,string,string,string,string
30001,monster_name_30001,亡灵,"","",30001,30001,monster_head_10+monster_head_wangling,NULL,0.5,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,400,10,10,2,2,6,6,6,6,4000,4000,-1,-1,210000,210001,210002,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30002,monster_name_30002,奥法师,"","",30002,30002,monster_head_10+monster_head_aofashi,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,600,10,10,2,2,6,6,6,6,4000,4000,-1,-1,210011,210012,210010,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30003,monster_name_30003,奥法师,"","",30003,30003,monster_head_10+monster_head_langwang,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,800,15,15,2,2,6,6,6,6,4000,4000,-1,-1,210020,210021,210022,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30004,monster_name_30004,伐木机,"","",30004,30004,monster_head_10+monster_head_famuji,NULL,1.0,1.0,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,20,20,2,2,6,6,6,6,4000,4000,-1,-1,210030,210033,210036,210042,210045,-1,-1,-1,-1,-1,"","","","","","","",""
30005,monster_name_30005,菲迪亚法师,"","",30005,30005,monster_head_10+monster_head_feidiyafashi,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,400,10,10,2,2,6,6,6,6,4000,4000,-1,-1,210040,210041,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30006,monster_name_30006,皮萨斯,"","",30006,30006,monster_head_10+monster_head_pisasi,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,600,12,12,2,2,6,6,6,6,4000,4000,-1,-1,210050,210051,210052,210053,210054,-1,-1,-1,-1,-1,"","","","","","","",""
30007,monster_name_30007,泰兰德,"","",30007,30007,monster_head_10+monster_head_tailande,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,600,12,12,2,2,6,6,6,6,4000,4000,-1,-1,210060,210061,210062,210063,210064,-1,-1,-1,-1,-1,"","","","","","","",""
30008,monster_name_30008,铁拳男士,"","",30008,30008,monster_head_10+monster_head_tiequannanshi,NULL,1.0,1.0,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1200,20,20,2,2,6,6,6,6,4000,4000,-1,-1,210070,210071,210073,210074,210079,210085,210086,-1,-1,-1,"","","","","","","",""
