id,type,draw_limit,player_exp,actor_exp,formation,gold,gem,drop_group_0,weight_0,drop_group_1,weight_1,drop_group_2,weight_2,items_0.item_id,items_0.item_amount,items_0.item_weight,items_1.item_id,items_1.item_amount,items_1.item_weight,items_2.item_id,items_2.item_amount,items_2.item_weight,items_3.item_id,items_3.item_amount,items_3.item_weight,items_4.item_id,items_4.item_amount,items_4.item_weight,items_5.item_id,items_5.item_amount,items_5.item_weight,items_6.item_id,items_6.item_amount,items_6.item_weight,items_7.item_id,items_7.item_amount,items_7.item_weight,items_8.item_id,items_8.item_amount,items_8.item_weight,items_9.item_id,items_9.item_amount,items_9.item_weight,items_10.item_id,items_10.item_amount,items_10.item_weight,items_11.item_id,items_11.item_amount,items_11.item_weight,items_12.item_id,items_12.item_amount,items_12.item_weight,items_13.item_id,items_13.item_amount,items_13.item_weight,items_14.item_id,items_14.item_amount,items_14.item_weight,items_15.item_id,items_15.item_amount,items_15.item_weight,items_16.item_id,items_16.item_amount,items_16.item_weight,items_17.item_id,items_17.item_amount,items_17.item_weight,items_18.item_id,items_18.item_amount,items_18.item_weight,items_19.item_id,items_19.item_amount,items_19.item_weight,items_20.item_id,items_20.item_amount,items_20.item_weight,items_21.item_id,items_21.item_amount,items_21.item_weight,items_22.item_id,items_22.item_amount,items_22.item_weight,items_23.item_id,items_23.item_amount,items_23.item_weight,items_24.item_id,items_24.item_amount,items_24.item_weight,items_25.item_id,items_25.item_amount,items_25.item_weight,items_26.item_id,items_26.item_amount,items_26.item_weight,items_27.item_id,items_27.item_amount,items_27.item_weight,items_28.item_id,items_28.item_amount,items_28.item_weight,items_29.item_id,items_29.item_amount,items_29.item_weight
ID,掉落包类型,抽牌掉落数量,主角经验,所有角色经验,英雄阵容,金币,钻石,掉落组,权重,掉落组,权重,掉落组,权重,道具1_ID,道具1_数量,道具1_权重,道具2_ID,道具2_数量,道具2_权重,道具3_ID,道具3_数量,道具3_权重,道具4_ID,道具4_数量,道具4_权重,道具5_ID,道具5_数量,道具5_权重,道具6_ID,道具6_数量,道具6_权重,道具7_ID,道具7_数量,道具7_权重,道具8_ID,道具8_数量,道具8_权重,道具9_ID,道具9_数量,道具9_权重,道具10_ID,道具10_数量,道具10_权重,道具11_ID,道具11_数量,道具11_权重,道具12_ID,道具12_数量,道具12_权重,道具13_ID,道具13_数量,道具13_权重,道具14_ID,道具14_数量,道具14_权重,道具15_ID,道具15_数量,道具15_权重,道具16_ID,道具16_数量,道具16_权重,道具17_ID,道具17_数量,道具17_权重,道具18_ID,道具18_数量,道具18_权重,道具19_ID,道具19_数量,道具19_权重,道具20_ID,道具20_数量,道具20_权重,道具21_ID,道具21_数量,道具21_权重,道具22_ID,道具22_数量,道具22_权重,道具23_ID,道具23_数量,道具23_权重,道具24_ID,道具24_数量,道具24_权重,道具25_ID,道具25_数量,道具25_权重,道具26_ID,道具26_数量,道具26_权重,道具27_ID,道具27_数量,道具27_权重,道具28_ID,道具28_数量,道具28_权重,道具29_ID,道具29_数量,道具29_权重,道具30_ID,道具30_数量,道具30_权重
int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,1,0,0,0,0,0,0,-1,0,-1,0,-1,0,16,1,10,21,1,10,26,1,10,38,1,10,43,1,10,55,1,10,60,1,10,65,1,10,84,1,10,105,1,10,110,1,10,98,1,10,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,0,0,0,0,0,0,-1,0,-1,0,-1,0,17,1,10,22,1,10,27,1,10,39,1,10,44,1,10,56,1,10,61,1,10,80,1,10,85,1,10,106,1,10,112,1,10,99,1,10,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,1,0,0,0,0,0,0,-1,0,-1,0,-1,0,18,1,10,23,1,10,28,1,10,40,1,10,52,1,10,57,1,10,62,1,10,81,1,10,86,1,10,107,1,10,95,1,10,100,1,10,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,0,0,0,0,0,0,-1,0,-1,0,-1,0,19,1,10,24,1,10,29,1,10,41,1,10,53,1,10,58,1,10,63,1,10,82,1,10,103,1,10,108,1,10,96,1,10,101,1,10,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,1,0,0,0,0,0,0,-1,0,-1,0,-1,0,20,1,10,25,1,10,30,1,10,42,1,10,54,1,10,59,1,10,64,1,10,83,1,10,104,1,10,109,1,10,97,1,10,102,1,10,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,1,0,0,0,0,0,0,-1,0,-1,0,-1,0,20230001,1,10,20230002,2,10,20230001,3,10,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,1,0,0,0,0,0,0,-1,0,-1,0,-1,0,20231001,1,10,20231002,1,10,20231003,1,10,20231004,1,10,20231005,1,10,20231006,1,10,20231007,1,10,20231008,1,10,20231009,1,10,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,1,0,0,0,0,0,0,-1,0,-1,0,-1,0,20231010,1,10,20231011,1,10,20231012,1,10,20231013,1,10,20231014,1,10,20231015,1,10,20231016,1,10,20231017,1,10,20231018,1,10,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,0,0,0,0,0,0,-1,0,-1,0,-1,0,20231019,1,10,20231020,1,10,20231021,1,10,20231022,1,10,20231023,1,10,20231024,1,10,20231025,1,10,20231026,1,10,20231027,1,10,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1,0,0,0,0,0,0,-1,0,-1,0,-1,0,20231028,1,10,20231029,1,10,20231030,1,10,20231031,1,10,20231032,1,10,20231033,1,10,20231034,1,10,20231035,1,10,20231036,1,10,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
