id,ac_type,reward_key,ac_group,during_day,during_week,reset_data,depend_enum,switch_open,begin_date,end_date,open_level,off_level,need_value_0,need_value_1,items_0.id,items_0.count,items_1.id,items_1.count,items_2.id,items_2.count,items_3.id,items_3.count,name,group_name,type_icon,desc,best_reward1,include_channels,group_title,show_ad,ad_icon,ui_name,show_time
配置索引,活动id,活动奖励id,活动组,每周计数（null永久）,循环周计数，循环周期是8周，自左向右，一个位表示一周(0关，1开)，8周结束后从新循环，英文窜表示特殊情况,重置玩家活动数据开关,活动前置依赖（不能相互引用，不能太多，会导致服务器调用栈溢出！）,开关,开始时间,结束时间,出现等级,消失等级,奖励要求值,奖励要求值,参数,值,奖励值,值,奖励值,值,奖励值,值,活动名字,活动类型说明,活动组图标,规则说明,最好的奖励的config id2016-8-15开始的那一周用这个，之后隔一周也用这个，以此往复,包含渠道列表,组标语,是否显示广告,广告背景,跳转UI,是否显示时间
int,int,int,int,string,string,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,string,string,string,int,string,string,int,string,string,int
1,0,0,0,null,null,0,ac_type_max,1,20000101,20991231,1,99,1,0,100005000,5,0,0,0,0,0,0,每日签到,每日签到,ac3,xxxxx,-1,all,天天签到，好礼不断,0,null,REWARD,0
2,0,1,0,null,null,0,ac_type_max,1,20000101,20991231,1,99,2,0,100007001,50,0,0,0,0,0,0,每日签到,每日签到,ac3,xxxxx,-1,all,天天签到，好礼不断,0,null,REWARD,0
3,0,2,0,null,null,0,ac_type_max,1,20000101,20991231,1,99,3,0,100007000,10,0,0,0,0,0,0,每日签到,每日签到,ac3,xxxxx,-1,all,天天签到，好礼不断,0,null,REWARD,0
4,0,3,0,null,null,0,ac_type_max,1,20000101,20991231,1,99,4,1,100004001,2,0,0,0,0,0,0,每日签到,每日签到,ac3,xxxxx,-1,all,天天签到，好礼不断,0,null,REWARD,0
5,0,4,0,null,null,0,ac_type_max,1,20000101,20991231,1,99,5,0,777,50,0,0,0,0,0,0,每日签到,每日签到,ac3,xxxxx,-1,all,天天签到，好礼不断,0,null,REWARD,0
6,0,5,0,null,null,0,ac_type_max,1,20000101,20991231,1,99,6,0,100040010,1,0,0,0,0,0,0,每日签到,每日签到,ac3,xxxxx,-1,all,天天签到，好礼不断,0,null,REWARD,0
7,0,6,0,null,null,0,ac_type_max,1,20000101,20991231,1,99,7,0,100090009,1,0,0,0,0,0,0,每日签到,每日签到,ac3,xxxxx,-1,all,天天签到，好礼不断,0,null,REWARD,0
8,0,7,0,null,null,0,ac_type_max,1,20000101,20991231,1,99,8,1,100005001,5,0,0,0,0,0,0,每日签到,每日签到,ac3,xxxxx,-1,all,天天签到，好礼不断,0,null,REWARD,0
9,0,8,0,null,null,0,ac_type_max,1,20000101,20991231,1,99,9,0,100007001,50,0,0,0,0,0,0,每日签到,每日签到,ac3,xxxxx,-1,all,天天签到，好礼不断,0,null,REWARD,0
10,0,9,0,null,null,0,ac_type_max,1,20000101,20991231,1,99,10,0,100007000,10,0,0,0,0,0,0,每日签到,每日签到,ac3,xxxxx,-1,all,天天签到，好礼不断,0,null,REWARD,0
11,0,10,0,null,null,0,ac_type_max,1,20000101,20991231,1,99,11,0,100004002,2,0,0,0,0,0,0,每日签到,每日签到,ac3,xxxxx,-1,all,天天签到，好礼不断,0,null,REWARD,0
