scene_id,common,equip_id
场景id,场景,装备id
int,string,int
10,奥达曼,10130001
10,奥达曼,10630001
10,奥达曼,11430001
10,奥达曼,11030001
10,奥达曼,10430001
10,奥达曼,10830001
10,奥达曼,10330001
10,奥达曼,12430001
11,祖尔,10930001
11,祖尔,12630001
11,祖尔,11430002
11,祖尔,12030001
11,祖尔,10730001
11,祖尔,12430002
11,祖尔,10530001
11,祖尔,10630002
12,玛拉顿,10130002
12,玛拉顿,11430003
12,玛拉顿,11030002
12,玛拉顿,10830002
12,玛拉顿,11930001
12,玛拉顿,10230001
12,玛拉顿,12030002
13,神庙,10430002
13,神庙,10930002
13,神庙,10630003
13,神庙,10830003
13,神庙,10330002
13,神庙,12130001
13,神庙,12230001
14,黑石,11030004
14,黑石,11830001
14,黑石,10330003
14,黑石,10730002
14,黑石,10530002
14,黑石,12030005
15,厄运,11430004
15,厄运,12630002
15,厄运,12130003
15,厄运,12530001
15,厄运,10130003
15,厄运,10530003
15,厄运,12130016
15,厄运,12530003
15,厄运,12530002
16,stsm,11930002
16,stsm,11930003
16,stsm,11930004
16,stsm,11830002
16,stsm,10630004
16,stsm,12630019
16,stsm,12130021
16,stsm,12230002
16,stsm,11930005
17,黑下,11530001
17,黑下,10830005
17,黑下,12430023
17,黑下,12430027
17,黑下,12430026
17,黑下,12430025
17,黑下,12430024
17,黑下,12130024
17,黑下,12130023
18,通灵,12230003
18,通灵,12530020
18,通灵,12530021
18,通灵,12330001
18,通灵,12330003
18,通灵,12330002
18,通灵,12030021
18,通灵,10230003
18,通灵,10130004
19,黑上,11030005
19,黑上,10830006
19,黑上,10930005
19,黑上,12430028
19,黑上,12130025
19,黑上,10330006
19,黑上,11030006
19,黑上,12530022
19,黑上,11930006

