id,index,area_pos_0.x,area_pos_0.y,area_pos_0.z,area_pos_1.x,area_pos_1.y,area_pos_1.z,area_pos_2.x,area_pos_2.y,area_pos_2.z,area_pos_3.x,area_pos_3.y,area_pos_3.z,player_pos_0.x,player_pos_0.y,player_pos_0.z,player_pos_1.x,player_pos_1.y,player_pos_1.z,player_pos_2.x,player_pos_2.y,player_pos_2.z,player_pos_3.x,player_pos_3.y,player_pos_3.z,player_pos_4.x,player_pos_4.y,player_pos_4.z,player_pos_5.x,player_pos_5.y,player_pos_5.z,player_pos_6.x,player_pos_6.y,player_pos_6.z,player_pos_7.x,player_pos_7.y,player_pos_7.z,player_pos_8.x,player_pos_8.y,player_pos_8.z,player_pos_9.x,player_pos_9.y,player_pos_9.z,player_pos_10.x,player_pos_10.y,player_pos_10.z,player_pos_11.x,player_pos_11.y,player_pos_11.z,player_pos_12.x,player_pos_12.y,player_pos_12.z,player_pos_13.x,player_pos_13.y,player_pos_13.z,player_pos_14.x,player_pos_14.y,player_pos_14.z,enemy_pos_0.x,enemy_pos_0.y,enemy_pos_0.z,enemy_pos_1.x,enemy_pos_1.y,enemy_pos_1.z,enemy_pos_2.x,enemy_pos_2.y,enemy_pos_2.z,enemy_pos_3.x,enemy_pos_3.y,enemy_pos_3.z,enemy_pos_4.x,enemy_pos_4.y,enemy_pos_4.z,enemy_pos_5.x,enemy_pos_5.y,enemy_pos_5.z,enemy_pos_6.x,enemy_pos_6.y,enemy_pos_6.z,enemy_pos_7.x,enemy_pos_7.y,enemy_pos_7.z,enemy_pos_8.x,enemy_pos_8.y,enemy_pos_8.z,enemy_pos_9.x,enemy_pos_9.y,enemy_pos_9.z,enemy_pos_10.x,enemy_pos_10.y,enemy_pos_10.z,enemy_pos_11.x,enemy_pos_11.y,enemy_pos_11.z,enemy_pos_12.x,enemy_pos_12.y,enemy_pos_12.z,enemy_pos_13.x,enemy_pos_13.y,enemy_pos_13.z,enemy_pos_14.x,enemy_pos_14.y,enemy_pos_14.z
id,index,area_pos_0.x,area_pos_0.y,area_pos_0.z,area_pos_1.x,area_pos_1.y,area_pos_1.z,area_pos_2.x,area_pos_2.y,area_pos_2.z,area_pos_3.x,area_pos_3.y,area_pos_3.z,player_pos_0.x,player_pos_0.y,player_pos_0.z,player_pos_1.x,player_pos_1.y,player_pos_1.z,player_pos_2.x,player_pos_2.y,player_pos_2.z,player_pos_3.x,player_pos_3.y,player_pos_3.z,player_pos_4.x,player_pos_4.y,player_pos_4.z,player_pos_5.x,player_pos_5.y,player_pos_5.z,player_pos_6.x,player_pos_6.y,player_pos_6.z,player_pos_7.x,player_pos_7.y,player_pos_7.z,player_pos_8.x,player_pos_8.y,player_pos_8.z,player_pos_9.x,player_pos_9.y,player_pos_9.z,player_pos_10.x,player_pos_10.y,player_pos_10.z,player_pos_11.x,player_pos_11.y,player_pos_11.z,player_pos_12.x,player_pos_12.y,player_pos_12.z,player_pos_13.x,player_pos_13.y,player_pos_13.z,player_pos_14.x,player_pos_14.y,player_pos_14.z,enemy_pos_0.x,enemy_pos_0.y,enemy_pos_0.z,enemy_pos_1.x,enemy_pos_1.y,enemy_pos_1.z,enemy_pos_2.x,enemy_pos_2.y,enemy_pos_2.z,enemy_pos_3.x,enemy_pos_3.y,enemy_pos_3.z,enemy_pos_4.x,enemy_pos_4.y,enemy_pos_4.z,enemy_pos_5.x,enemy_pos_5.y,enemy_pos_5.z,enemy_pos_6.x,enemy_pos_6.y,enemy_pos_6.z,enemy_pos_7.x,enemy_pos_7.y,enemy_pos_7.z,enemy_pos_8.x,enemy_pos_8.y,enemy_pos_8.z,enemy_pos_9.x,enemy_pos_9.y,enemy_pos_9.z,enemy_pos_10.x,enemy_pos_10.y,enemy_pos_10.z,enemy_pos_11.x,enemy_pos_11.y,enemy_pos_11.z,enemy_pos_12.x,enemy_pos_12.y,enemy_pos_12.z,enemy_pos_13.x,enemy_pos_13.y,enemy_pos_13.z,enemy_pos_14.x,enemy_pos_14.y,enemy_pos_14.z
int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,1,37145,50441,93649,36983,50709,78950,30085,50685,79516,30967,50095,93260,33925,50268,89581,35065,50272,89572,32785,50264,89590,36205,50276,89562,31645,50259,89600,33937,50205,91020,35077,50209,91010,32797,50200,91029,36217,50213,91001,31658,50196,91038,33950,50141,92458,35090,50146,92449,32810,50137,92468,36229,50150,92439,31670,50133,92477,33481,50651,83087,34620,50627,83040,32343,50675,83134,35759,50603,82993,31204,50698,83181,33421,50583,81650,34560,50559,81603,32282,50607,81697,35698,50535,81556,31143,50631,81744,33360,50515,80213,34499,50491,80166,32222,50539,80260,35638,50467,80119,31083,50563,80306
1,2,38912,50230,63705,53758,50589,64042,53468,51111,57615,39170,50260,57418,42900,50017,60660,42885,50011,61800,42915,50023,59520,42870,50004,62940,42930,50029,58380,41460,50016,60641,41445,50010,61781,41475,50023,59501,41431,50004,62921,41490,50029,58361,40020,50016,60622,40006,50009,61762,40035,50022,59482,39991,50003,62902,40050,50028,58343,48980,50004,60781,48996,50003,61921,48963,50006,59641,49012,50002,63061,48947,50007,58501,50419,50014,60751,50436,50013,61901,50403,50016,59621,50452,50012,63040,50387,50017,58481,51859,50025,60740,51876,50023,61880,51843,50026,59600,51892,50022,63020,51827,50027,58460
1,3,42779,50774,55874,54927,51164,49000,52377,50800,43337,39869,51013,49668,44979,50027,50587,45526,50024,51588,44433,50030,49587,46072,50021,52588,43887,50033,48586,43715,50023,51277,44262,50020,52278,43169,50026,50277,44808,50018,53278,42623,50029,49276,42452,50020,51967,42998,50017,52968,41905,50023,50967,43544,50014,53968,41359,50026,49966,49439,50030,47505,49997,50029,48499,48882,50032,46510,50554,50027,49494,48325,50033,45516,50696,50026,46801,51253,50024,47796,50138,50027,45807,51810,50022,48790,49581,50029,44812,51952,50021,46097,52509,50020,47092,51394,50023,45103,53066,50018,48086,50837,50024,44108
1,4,58725,50271,62829,58984,50607,49400,52553,50510,49200,52333,50178,62519,55668,50053,59012,56808,50063,59002,54528,50068,59024,57951,50154,58994,53390,50112,59035,55680,50028,60452,56820,50027,60441,54540,50043,60462,57962,50160,60434,53402,50081,60474,55697,49987,61894,56836,50026,61884,54553,50006,61901,57976,50115,61874,53414,50038,61913,55869,50002,53067,57009,50001,53054,54729,50002,53079,58149,50000,53041,53590,50003,53092,55853,50006,51627,56993,50005,51614,54714,50007,51639,58133,50004,51601,53574,50008,51652,55837,50011,50187,56977,50010,50174,54698,50012,50199,58117,50009,50161,53558,50013,50212
1,5,60461,50500,61448,74793,50172,60681,74443,50169,54440,60709,50349,54225,64329,50153,57837,64329,50154,58977,64329,50152,56697,64329,50156,60117,64329,50151,55557,62890,50204,57837,62890,50206,58977,62890,50203,56697,62890,50207,60117,62890,50202,55557,61451,50256,57837,61451,50257,58977,61451,50255,56697,61451,50258,60117,61451,50253,55557,70717,50029,58381,70719,50029,59521,70716,50029,57241,70720,50029,60661,70714,50029,56101,72157,50029,58379,72159,50029,59519,72156,50029,57239,72160,50029,60659,72154,50029,56099,73597,50029,58377,73599,50029,59517,73596,50029,57237,73600,50029,60657,73594,50029,56097
1,6,73155,52049,92786,73644,52044,79224,67215,52464,79409,66997,52193,92328,70219,51807,88539,71352,51772,88567,69086,51985,88511,72485,51746,88596,67944,52156,88475,70178,51817,89978,71310,51773,90007,69046,51892,89949,72448,51740,90036,67913,52092,89922,70145,51804,91419,71280,51780,91445,69009,51893,91389,72408,51745,91475,67876,52064,91360,70332,51810,82870,71471,51804,82899,69197,51884,82842,72608,51746,82929,68058,52039,82814,70367,51834,81430,71507,51790,81460,69235,51858,81401,72644,51765,81489,68096,52022,81372,70408,51839,79991,71545,51807,80020,69271,51883,79963,72682,51767,80050,68131,52048,79933
1,7,64891,52079,92679,64828,52319,79849,58398,52319,79450,58251,52209,92610,61701,51685,89050,62841,51681,89040,60561,51688,89059,63981,51678,89031,59422,51691,89068,61713,51678,90489,62853,51675,90480,60573,51681,90499,63993,51672,90471,59433,51685,90508,61725,51672,91929,62865,51669,91920,60585,51675,91939,64005,51665,91911,59445,51678,91948,61529,51701,83489,62668,51682,83489,60389,51719,83489,63808,51664,83489,59249,51738,83489,61528,51687,82050,62668,51668,82050,60389,51705,82050,63808,51650,82050,59249,51723,82049,61528,51672,80610,62668,51654,80610,60388,51691,80610,63808,51636,80610,59248,51709,80610
1,8,53476,50349,116144,66426,50169,115985,66272,50169,109557,53286,50169,109936,56993,49998,112993,57018,50016,114133,56965,49997,111855,57044,50006,115273,56942,50011,110714,55553,50014,113026,55578,50022,114165,55527,50012,111886,55603,50032,115305,55502,50010,110746,54112,50029,113058,54138,50029,114197,54087,50006,111918,54164,49979,115337,54062,49987,110778,61581,50165,112877,61598,50175,114017,61571,50074,111737,61615,50180,115156,61563,50029,110597,63020,50147,112854,63037,50132,113994,63011,50091,111715,63064,50057,115134,63003,49996,110565,64468,50104,112832,64482,50106,113970,64451,50069,111692,64503,50004,115102,64442,49983,110543
