impact_type,group,effect,comment,icon,name,desc,priority,effect_path
配置索引,效果组(同组效果互斥),效果类型,buff提示,图标,名字,buff描述,展示优先级,特效路径
int,int,int,string,string,string,string,int,string
0,0,2,物防药水buff,item_potion+icon_item_kxhj,simple_impact_name_0,simple_impact_desc_0,0,""
1,0,2,加血药水buff,item_potion+icon_item_nlhj,simple_impact_name_1,simple_impact_desc_1,1,""
2,0,2,魔攻药水buff,item_potion+icon_item_hshj,simple_impact_name_2,simple_impact_desc_2,2,""
3,0,2,物攻药水buff,item_potion+icon_item_tthj,simple_impact_name_3,simple_impact_desc_3,3,""
4,0,2,魔防药水buff,item_potion+icon_item_zhhj,simple_impact_name_4,simple_impact_desc_4,4,""
1001,5,1,战场提速buff,buff_icon+buff_jiasu,simple_impact_name_1001,simple_impact_desc_1001,0,res/effect/buff_jiasu.effect
1002,6,1,战场减速buff,buff_icon+buff_jiansu,simple_impact_name_1002,simple_impact_desc_1002,1,""
1003,7,3,免劫掠buff,buff_icon+buff_mianjielue,simple_impact_name_1003,simple_impact_desc_1003,2,""
1004,8,1,坐骑速度buff,item_mount+mount_diyujunma,simple_impact_name_1004,simple_impact_desc_1004,3,res/effect/buff_jiasu.effect
1005,9,3,装备即将损坏buff,buff_icon+buff_jiangsunhuai,simple_impact_name_1005,simple_impact_desc_1005,4,""
1006,10,3,装备损坏buff,buff_icon+buff_sunhuai,simple_impact_name_1006,simple_impact_desc_1006,5,""
1007,8,1,坐骑速度buff,item_mount+mount_keduoshou,simple_impact_name_1007,simple_impact_desc_1007,3,res/effect/buff_jiasu.effect
1008,8,1,坐骑速度buff,item_mount+mount_hu,simple_impact_name_1008,simple_impact_desc_1008,3,res/effect/buff_jiasu.effect
1009,8,1,坐骑速度buff,item_mount+mount_shachong,simple_impact_name_1009,simple_impact_desc_1009,3,res/effect/buff_jiasu.effect
1010,8,1,坐骑速度buff,item_mount+mount_bao,simple_impact_name_1010,simple_impact_desc_1010,3,res/effect/buff_jiasu.effect
1011,8,1,坐骑速度buff,item_mount+mount_wugui,simple_impact_name_1011,simple_impact_desc_1011,3,res/effect/buff_jiasu.effect
1012,8,1,坐骑速度buff,item_mount+mount_heijinghuangzhe,simple_impact_name_1012,simple_impact_desc_1012,3,res/effect/buff_jiasu.effect
1013,8,1,坐骑速度buff,item_mount+mount_shahuang,simple_impact_name_1013,simple_impact_desc_1013,3,res/effect/buff_jiasu.effect
1014,8,1,坐骑速度buff,item_mount+mount_lang,simple_impact_name_1014,simple_impact_desc_1014,3,res/effect/buff_jiasu.effect
1015,8,1,坐骑速度buff,item_mount+mount_xunlong,simple_impact_name_1015,simple_impact_desc_1015,3,res/effect/buff_jiasu.effect
1016,11,5,仆从守护buff,atlas_functions+henchman,simple_impact_name_1016,simple_impact_desc_1016,3,""
1017,5,1,新手提速buff,buff_icon+buff_jiasu,simple_impact_name_1017,simple_impact_desc_1017,0,res/effect/buff_jiasu.effect
1018,8,1,坐骑速度buff,item_mount+mount_ma,simple_impact_name_1018,simple_impact_desc_1018,3,res/effect/buff_jiasu.effect
1019,12,3,服务器等级buff,buff_icon+buff_server_lv,simple_impact_name_1019,simple_impact_desc_1019,5,""

