id,res_id,actor_name,level,note,name,tips,desc,icon,damage_note,damage_note1,effect,initial1,variable1,islevel1,initial2,variable2,islevel2,initial3,variable3,islevel3
id,资源id,备注,等级,备注,名称,备注,描述,图标,备注,备注,当前技能效果,初始值1,变量1,等级or系数，0-等级，1-系数,初始值2,变量2,等级or系数，0-等级，1-系数,初始值3,变量3,等级or系数，0-等级，1-系数
int,int,string,int,string,string,string,string,string,string,string,string,float,float,int,float,float,int,float,float,int
200010,10001,美屡,1,自动射击,"","","","","","","",0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
200011,10001,美屡,1,秘法射击,skill_name_200011,射出三发法术子弹，对三个随机目标造100%的成物理伤害,skill_detail_200011,skill_actor_10001+icon_skill_ml_1,提升1715点攻击强度,提升{0}点攻击强度,skill_LVdetail_200011,0.0,1715.0,1,0.0,0.0,0,0.0,0.0,0
200012,10001,美屡,1,冰冻射击,skill_name_200012,射出一发寒冰子弹，造成1次100%的物理伤害，并冰封目标3秒,skill_detail_200012,skill_actor_10001+icon_skill_ml_2,提升1715点攻击强度,提升{0}点攻击强度,skill_LVdetail_200012,0.0,1715.0,1,0.0,0.0,0,0.0,0.0,0
200013,10001,美屡,1,狂风乱射,skill_name_200013,对最虚弱的敌方目标发射三发子弹，每发子弹造成80%的物理伤害,skill_detail_200013,skill_actor_10001+icon_skill_ml_3,提升1715点攻击强度,提升{0}点攻击强度,skill_LVdetail_200013,0.0,1715.0,1,0.0,0.0,0,0.0,0.0,0
200014,10001,美屡,1,武装威慑,skill_name_200014,每次攻击都会提高2%的暴击率，最多叠加5层，生命低于50%和25%时，武装威慑效果消失，回复生命值,skill_detail_200014,skill_actor_10001+icon_skill_ml_4,每层武装威慑回复940点生命值,每层武装威慑效果恢复{0}点生命值,skill_LVdetail_200014,0.0,940.0,1,0.0,0.0,0,0.0,0.0,0
200020,10002,哀木涕,1,普通攻击,"","","","","","","",0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
200021,10002,哀木涕,1,雷霆一击,skill_name_200021,向前方4米的锥形区域释放强大的雷霆攻击，造成90%的范围物理伤害，并使区域中的敌人移动速度降低50%，持续5秒,skill_detail_200021,skill_actor_10002+icon_skill_mt_1,提升627点攻击强度,提升{0}点攻击强度,skill_LVdetail_200021,0.0,627.0,1,0.0,0.0,0,0.0,0.0,0
200022,10002,哀木涕,1,冲锋,skill_name_200022,向敌人冲锋，造成100%的物理伤害，并使其昏迷3秒,skill_detail_200022,skill_actor_10002+icon_skill_mt_2,提升627点攻击强度,提升{0}点攻击强度,skill_LVdetail_200022,0.0,627.0,1,0.0,0.0,0,0.0,0.0,0
200023,10002,哀木涕,1,盾墙,skill_name_200023,使施法者受到的伤害大幅降低，持续15秒,skill_detail_200023,skill_actor_10002+icon_skill_mt_3,受到的魔法伤害或者物理伤害降低75%,受到的魔法伤害或者物理伤害降低{0}%,skill_LVdetail_200023,15.0,1.0,0,0.0,0.0,0,0.0,0.0,0
200024,10002,哀木涕,1,挑战怒吼,skill_name_200024,嘲讽附近所有的敌人，强制攻击施法者3秒,skill_detail_200024,skill_actor_10002+icon_skill_mt_4,提升嘲讽命中率,提升嘲讽命中率,skill_LVdetail_200024,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
