actor_id,color,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,skill_10,skill_11,skill_12,skill_13,skill_14
职业,颜色,技能1,技能2,技能3,技能4,技能5,技能6,技能7,技能8,技能9,技能10,技能11,技能12,技能13,技能14
int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
10001,1,200010,200011,200010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10001,2,200012,200010,200011,200010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10001,3,200012,200010,200011,200010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10001,4,200012,200010,200011,200010,200013,-1,-1,-1,-1,-1,-1,-1,-1,-1
10001,5,200012,200010,200011,200010,200013,-1,-1,-1,-1,-1,-1,-1,-1,-1
10001,6,200012,200010,200011,200010,200013,-1,-1,-1,-1,-1,-1,-1,-1,-1
10001,7,200012,200010,200011,200010,200013,-1,-1,-1,-1,-1,-1,-1,-1,-1
10002,1,200020,200021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10002,2,200022,200020,200021,200020,200021,200020,200021,200020,-1,-1,-1,-1,-1,-1
10002,3,200022,200020,200021,200020,200021,200020,200021,200020,-1,-1,-1,-1,-1,-1
10002,4,200022,200020,200021,200020,200021,200020,200021,200020,-1,-1,-1,-1,-1,-1
10002,5,200022,200020,200021,200020,200021,200020,200021,200020,-1,-1,-1,-1,-1,-1
10002,6,200022,200020,200021,200020,200021,200020,200021,200020,-1,-1,-1,-1,-1,-1
10002,7,200022,200020,200021,200020,200024,200020,200021,200020,200021,200020,-1,-1,-1,-1
10003,1,200031,200030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10003,2,200032,200030,200031,200030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10003,3,200032,200030,200031,200030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10003,4,200032,200031,200030,200033,200031,-1,-1,-1,-1,-1,-1,-1,-1,-1
10003,5,200032,200031,200030,200033,200031,-1,-1,-1,-1,-1,-1,-1,-1,-1
10003,6,200032,200031,200030,200033,200031,-1,-1,-1,-1,-1,-1,-1,-1,-1
10003,7,200032,200031,200030,200033,200031,-1,-1,-1,-1,-1,-1,-1,-1,-1
10004,1,200041,200040,200040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10004,2,200041,200040,200042,200040,200040,-1,-1,-1,-1,-1,-1,-1,-1,-1
10004,3,200041,200040,200042,200040,200040,-1,-1,-1,-1,-1,-1,-1,-1,-1
10004,4,200041,200043,200040,200042,200040,-1,-1,-1,-1,-1,-1,-1,-1,-1
10004,5,200041,200043,200040,200042,200040,-1,-1,-1,-1,-1,-1,-1,-1,-1
10004,6,200041,200043,200040,200042,200040,-1,-1,-1,-1,-1,-1,-1,-1,-1
10004,7,200041,200043,200040,200042,200040,-1,-1,-1,-1,-1,-1,-1,-1,-1
10005,1,200051,200050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10005,2,200051,200050,200052,200050,200050,-1,-1,-1,-1,-1,-1,-1,-1,-1
10005,3,200051,200050,200052,200050,200050,-1,-1,-1,-1,-1,-1,-1,-1,-1
10005,4,200051,200050,200052,200050,200053,200050,200051,200050,200052,200050,-1,-1,-1,-1
10005,5,200051,200050,200052,200050,200053,200050,200051,200050,200052,200050,-1,-1,-1,-1
10005,6,200051,200050,200052,200050,200053,200050,200051,200050,200052,200050,-1,-1,-1,-1
10005,7,200051,200054,200050,200052,200053,200050,200051,200050,200052,200050,-1,-1,-1,-1
10006,1,200060,200061,200060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10006,2,200060,200062,200061,200060,200061,-1,-1,-1,-1,-1,-1,-1,-1,-1
10006,3,200060,200062,200061,200060,200061,-1,-1,-1,-1,-1,-1,-1,-1,-1
10006,4,200060,200062,200061,200060,200061,-1,-1,-1,-1,-1,-1,-1,-1,-1
10006,5,200060,200062,200061,200060,200061,-1,-1,-1,-1,-1,-1,-1,-1,-1
10006,6,200060,200062,200061,200060,200061,-1,-1,-1,-1,-1,-1,-1,-1,-1
10006,7,200060,200062,200061,200060,200061,-1,-1,-1,-1,-1,-1,-1,-1,-1
10007,1,200070,200071,200070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10007,2,200072,200070,200071,200070,200070,200071,200070,200070,-1,-1,-1,-1,-1,-1
10007,3,200072,200070,200071,200070,200070,200071,200070,200070,-1,-1,-1,-1,-1,-1
10007,4,200072,200073,200070,200071,200070,200070,200073,200070,200071,200070,-1,-1,-1,-1
10007,5,200072,200073,200070,200071,200070,200070,200073,200070,200071,200070,-1,-1,-1,-1
10007,6,200072,200073,200070,200071,200070,200070,200073,200070,200071,200070,-1,-1,-1,-1
10007,7,200072,200073,200074,200071,200070,200073,200070,200074,200071,200070,-1,-1,-1,-1
10008,1,200081,200080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10008,2,200081,200082,200080,200081,200080,-1,-1,-1,-1,-1,-1,-1,-1,-1
10008,3,200081,200082,200080,200081,200080,-1,-1,-1,-1,-1,-1,-1,-1,-1
10008,4,200081,200082,200080,200081,200080,-1,-1,-1,-1,-1,-1,-1,-1,-1
10008,5,200081,200082,200080,200081,200080,-1,-1,-1,-1,-1,-1,-1,-1,-1
10008,6,200081,200082,200080,200081,200080,-1,-1,-1,-1,-1,-1,-1,-1,-1
10008,7,200081,200082,200080,200081,200080,-1,-1,-1,-1,-1,-1,-1,-1,-1
10009,1,200091,200090,200090,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10009,2,200092,200090,200091,200092,200090,200092,200090,200091,200090,-1,-1,-1,-1,-1
10009,3,200092,200090,200091,200092,200090,200092,200090,200091,200090,-1,-1,-1,-1,-1
10009,4,200092,200093,200090,200091,200092,200090,200092,200090,200091,200090,-1,-1,-1,-1
10009,5,200092,200093,200090,200091,200092,200090,200092,200090,200091,200090,-1,-1,-1,-1
10009,6,200092,200093,200090,200091,200092,200090,200092,200090,200091,200090,-1,-1,-1,-1
10009,7,200092,200093,200090,200091,200092,200090,200092,200090,200091,200090,-1,-1,-1,-1
10010,1,200101,200100,200100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10010,2,200101,200100,200102,200100,200100,-1,-1,-1,-1,-1,-1,-1,-1,-1
10010,3,200101,200100,200102,200100,200100,-1,-1,-1,-1,-1,-1,-1,-1,-1
