level,level_up_gold
技能等级,消耗金币
int,int
1,14
2,31
3,67
4,107
5,184
6,255
7,386
8,497
9,700
10,954
11,1265
12,1640
13,2086
14,2610
15,3218
16,3919
17,4719
18,5627
19,6651
20,7678
21,8188
22,8665
23,9100
24,9485
25,11302
26,12905
27,14689
28,16670
29,18864
30,22627
31,26240
32,30275
33,34769
34,39761
35,45294
36,51409
37,58154
38,65578
39,73730
40,82666
41,91347
42,100674
43,110678
44,121391
45,135657
46,154423
47,175364
48,198721
49,224763
50,292642
51,419985
52,574338
53,760144
54,949796
55,1164362
56,1405857
57,1676396
58,1978191
59,2313556
60,2710001

