id,prefix,boy_name,girl_name,suffix
id,前缀,男名,女名,后缀
int,string,string,string,string
0,霸气的,亚伦,阿比盖尔,爱
1,耀眼的,罗兰德,塔里斯,和平
2,活跃的,欧灵,艾达,勇气
3,迅捷的,艾丹,艾德琳,正义
4,无私的,阿尔瓦,桑托斯,审判
5,热情的,阿诺格,艾丽莎,智天使
6,谨慎的,艾伯特,斯尔维亚,主天使
7,精干的,马拉尼,爱丽丝,力天使
8,神秘的,安东尼,艾丽西娅,光明
9,奔放的,阿波罗,艾琳娜,圣洁
10,拘谨的,阿诺德,艾莉莎,真理
11,幽默的,亚瑟,阿曼达,唯一
12,风趣的,奥斯汀,艾美,能天使
13,稳重的,威尔斯凯,塔西娅,使者
14,内敛的,皮特,安琪,权天使
15,品味的,本森,安吉拉,美神
16,内涵的,比尔,哈雷那,光雨
17,个性的,唐尼,安吉莉娜,主宰
18,精明的,布莱克,斯威芙特,炽焰
19,诚挚的,杰森,安娜,帝星
20,俊美的,贾斯汀,艾妮娜,绽放
21,雍容的,维塔斯,安尼塔,灭
22,开朗的,布兰特,艾莉尔,无邪
23,印记的,格瑞特,阿普里尔,风之翼
24,浪漫的,布赖恩,艾许莉,雨之翼
25,俊秀的,塞巴斯,海瑟薇,光之翼
26,冷淡的,迦勒,费雯丽,引领
27,风情的,杰克曼,芭比,圣光
28,温柔的,卡洛斯,贝亚特,护卫
29,灵异的,凯里,比特丽斯,闪翼
30,神采的,莱昂纳多,梅根福克,纯真
31,忧郁的,查尔斯,娜塔莉,无暇
32,腼腆的,采尼,贝斯,祈祷
33,永恒的,袭德洛,贝蒂,虔诚
34,亘古的,克里斯蒂,布兰奇,宽恕
35,慷慨的,里斯多夫,邦妮,降临
36,苍白的,克拉克,布伦达,圣化
37,摩登的,柯利弗,布莱安娜,化身
38,热忱的,科迪,布兰妮,守护
39,纯净的,扎克伯格,布列塔尼,梦幻
40,高大的,布鲁斯,卡米尔,旋律
41,不安的,丹尼,莰蒂丝,灵
42,英姿的,艾得力克,尤西利亚,光环
43,英雄的,德里克,卡瑞娜,雷之翼
44,振奋的,约翰德普,卡门,智慧
45,飘逸的,唐纳德,邦尼,怒风
46,炫彩的,杜克,卡罗琳,风暴
47,出色的,迪伦,麦克斯,雷电
48,讲究的,汤姆,凯瑟琳,炎火
49,直率的,埃德加,凯茜,俊容
50,纯洁的,爱迪生,切尔西,凌冰
51,单纯的,艾德蒙,沙琳,消灭
52,纯粹的,爱德华,雪莉尔,天使
53,匠心的,艾德文,克莉丝,静谧
54,和平的,艾略特,蒂娜,战神
55,守卫的,埃里克,克里斯汀,女王
56,守护者,伊桑,辛迪,王者
57,悠闲的,欧文,克劳瑞丝,皇子
58,真理的,约安特,哈利贝瑞,圣灵
59,光明的,福特,达芙妮,幽光
60,神圣的,弗兰克思,达茜,暗影
61,幻影的,科比,凯特贝瑞,圣皇
62,荣誉的,里维斯,黛比,骑士
63,谦卑的,弗瑞德,黛博拉,将领
64,英勇的,加百利,黛米,觉醒
65,灵性的,加比,黛安娜,纯洁
66,牺牲的,加菲尔,碧昂斯,真容
67,圣骑士,加里,多拉,忠诚
68,使者,尼奥,桃瑞丝,燃烧
69,圣,杰弗里,伊迪丝,震慑
70,自律者,阿凡达,伊莱恩,威慑
71,忠诚的,基诺,埃莉诺,审视
72,启蒙者,格林,伊丽莎白,信仰
73,先导者,格林顿,哈雷娜,福音
74,冒险的,哈帝,爱伦,赞美
75,觉醒的,哈里森,艾米丽,洗礼
76,美丽的,范迪,艾玛,庇佑
77,皇家的,海顿,伊妮德,自律者
78,天国的,雨果,埃莉卡,心灵
79,唯一的,汉克,伊芙,净化
80,炽天使,亨利,芬妮,圣教
81,智天使,伊恩,菲奥纳,奥义
82,灵天使,伍兹,弗罗伦丝,元素
83,主天使,伊凡,弗郎西丝,忘却
84,力天使,艾萨克,弗里达,祝福
85,能天使,艾塞亚,吉娜,律令
86,权天使,杰克,吉莉安,天意
87,创天使,杰克逊,格拉蒂丝,制裁
88,护天使,杰伊,帕丽斯,结界
89,亡天使,杰弗瑞,格瑞丝,天罚
90,炎天使,杰罗姆,希尔顿,天怒
91,光天使,杰瑞,格温多琳,圣盾
92,爱天使,乔尼,汉娜,圣义
93,和天使,乔纳森,海莉,真言
94,义天使,乔丹,海伦娜,觉悟
95,座天使,约瑟夫,海伦,救赎
96,德天使,约书亚,海蒂,教义
97,天使,罗赛,希拉里,符文
98,善良的,凯斯,英格丽德,圣言
99,虔诚的,瑞恩,伊莎贝拉,圣谕
100,祈祷的,肯尼斯,爱沙拉,执法者
101,宽恕的,库斯伯特,艾琳,幻
102,恬静的,凯文,艾丽丝,-1
103,美好的,罗德哈特,杰奎琳,-1
104,勇敢的,孟斐拉,小玉,-1
105,传说的,拉里,詹米,-1
106,真灵的,劳伦特,简,-1
107,高尚的,劳伦斯,珍妮特,-1
108,风发的,利安德尔,贾斯敏,-1
109,风采的,罗伊德,姬恩,-1
110,洗礼的,雷欧,珍娜,-1
111,-1,雷纳德,詹妮弗,-1
112,-1,利奥波特,杰西卡,-1
113,-1,莱斯利,杰西,-1
114,-1,劳瑞,姬尔,-1
115,-1,劳瑞恩,琼,-1
116,-1,索格灵,乔安娜,-1
117,-1,卢克,约瑟芬,-1
118,-1,马库斯,乔茜,-1
119,-1,马希沃斯,乔伊斯,-1
120,-1,伊沃,朱迪丝,-1
121,-1,马科斯,朱莉娅,-1
122,-1,马尔斯,朱莉安娜,-1
123,-1,马歇尔,朱莉,-1
124,-1,马丁,凯琳,-1
125,-1,克兰,卡瑞达,-1
126,-1,梅森,凯特,-1
127,-1,马修,卡特里娜,-1
128,-1,马克斯,索萨,-1
129,-1,迈克尔,凯拉,-1
130,-1,米奇,凯尔西,-1
131,-1,麦克,特里娜,-1
132,-1,克罗尼斯,莱瑞拉,-1
133,-1,尼尔森,蕾西,-1
134,-1,尼古拉斯,劳拉,-1
135,-1,诺亚,罗兰,-1
136,-1,诺曼,莉娜,-1
137,-1,奥利弗,莉迪娅,-1
138,-1,奥斯卡,莉莲,-1
139,-1,欧文斯,琳达,-1
140,-1,帕特里克,林赛,-1
141,-1,保罗,丽莎,-1
142,-1,彼得,莉兹,-1
143,-1,菲利普,洛拉,-1
144,-1,菲比,杰克罗琳,-1
145,-1,昆廷,路易莎,-1
146,-1,兰德尔,露西娅,-1
147,-1,伦道夫,露茜,-1
148,-1,兰迪,露西妮,-1
149,-1,雷,露露,-1
150,-1,纳撒尼尔,林恩,-1
151,-1,列得,玛佩尔,-1
152,-1,雷克斯,马德琳,-1
153,-1,理查德,玛姬,-1
154,-1,格拉夫,玛米,-1
155,-1,罗伯特,曼达,-1
156,-1,鲁宾逊,曼迪,-1
157,-1,洛克,玛格丽特,-1
158,-1,罗杰,玛丽亚,-1
159,-1,罗纳德,玛丽莲,-1
160,-1,罗伊,玛莎,-1
161,-1,赖安,梅维丝,-1
162,-1,萨姆,玛丽,-1
163,-1,塞缪尔,玛蒂尔达,-1
164,-1,斯考特,莫琳,-1
165,-1,多斯,玛克辛,-1
166,-1,西德尼,梅,-1
167,-1,西蒙,梅米,-1
168,-1,所罗门,梅甘,-1
169,-1,斯帕克,梅琳达,-1
170,-1,斯宾塞,梅利莎,-1
171,-1,斯派克,美洛蒂,-1
172,-1,斯坦利,默西迪丝,-1
173,-1,史蒂文,梅瑞狄斯,-1
174,-1,斯图亚特,米娅,-1
175,-1,特伦斯,米歇尔,-1
176,-1,泰德,米莉,-1
177,-1,提姆,米兰达,-1
178,-1,蒂莫西,米里亚姆,-1
179,-1,托德,茉莉,-1
180,-1,托马斯,莫尼卡,-1
181,-1,泰勒,摩根,-1
182,-1,奥特曼,南茜,-1
183,-1,尤利塞斯,娜塔妮亚,-1
184,-1,范,娜塔莎,-1
185,-1,弗恩,妮可,-1
186,-1,弗农,尼基塔,-1
187,-1,维克多,尼娜,-1
188,-1,文森特,诺拉,-1
189,-1,华纳,诺玛,-1
190,-1,沃伦,尼迪亚,-1
191,-1,韦恩,奥塔维亚,-1
192,-1,卫斯理,奥琳娜,-1
193,-1,威廉,奥利维亚,-1
194,-1,扎克,奥菲莉娅,-1
195,-1,圣扎迦利,奥帕,-1
196,-1,卢卡斯,帕梅拉,-1
197,-1,迪姆,帕特丽夏,-1
198,-1,费力克斯,芭迪,-1
199,-1,马克西米,波琳,-1
200,-1,尤利安,珀尔,-1
201,-1,尼科拉斯,帕姬,-1
202,-1,以利亚,菲洛米娜,-1
203,-1,雅尼克,菲比,-1
204,-1,艾比盖,菲丽丝,-1
205,-1,德科思,波莉,-1
206,-1,爱得拉,普里西拉,-1
207,-1,爱得莱德,昆蒂娜,-1
208,-1,爱尔柏塔,雷切尔,-1
209,-1,爱莉克希亚,丽贝卡,-1
210,-1,奥尔瑟雅,瑞加娜,-1
211,-1,阿尔拉丁,丽塔,-1
212,-1,安德烈亚,罗丝,-1
213,-1,安纳贝尔,洛克萨妮,-1
214,-1,艾谱拉丁,露丝,-1
215,-1,亚特兰特,萨布丽娜,-1
216,-1,奥劳拉,萨莉,-1
217,-1,尤文图斯,桑德拉,-1
218,-1,布莱兹,萨曼莎,-1
219,-1,莱斯特,萨米,-1
220,-1,布里奇特,桑迪,-1
221,-1,布鲁克,莎拉,-1
