id,name,tips
ID,天赋名,备注
int,string,string
1,tianfu_zhanshi_wuqi,武器
2,tianfu_zhanshi_kuangnu,狂怒
3,tianfu_zhanshi_fangyu,防御
4,tianfu_saman_yuansu,元素
5,tianfu_saman_zengqiang,增强
6,tianfu_saman_huifu,恢复
7,tianfu_lieren_yeshouzhangwo,野兽掌握
8,tianfu_lieren_sheji,射击
9,tianfu_lieren_shengcun,生存
10,tianfu_fashi_aoshu,奥术
11,tianfu_fashi_huoyan,火焰
12,tianfu_fashi_bingshuang,冰霜
13,tianfu_deluyi_yexingzhandou1,野性战斗
14,tianfu_deluyi_yexingzhandou2,野性战斗
15,tianfu_deluyi_huifu,恢复
16,tianfu_deluyi_pingheng,平衡
17,tianfu_shushi_tongku,痛苦
18,tianfu_shushi_emoxueshi,恶魔学识
19,tianfu_shushi_huimie,毁灭
20,tianfu_mushi_jielv,戒律
21,tianfu_mushi_shensheng,神圣
22,tianfu_mushi_anying,暗影
23,tianfu_shengqishi_shensheng,神圣
24,tianfu_shengqishi_fanghu,防护
25,tianfu_shengqishi_chengjie,惩戒
26,tianfu_daozei_cisha,刺杀
27,tianfu_daozei_zhandou,战斗
28,tianfu_daozei_minrui,敏锐

