id,group,defence_count,cure_count,attack_count,need_defence_count,need_cure_count,need_attack_count
id,组队模式,已有防御数量,已有治疗数量,已有输出数量,需求防御数量,需求治疗数量,需求输出数量
int,int,int,int,int,int,int,int
1,0,1,0,0,0,1,3
2,0,0,1,0,1,0,3
3,0,0,0,1,1,1,2
4,0,2,0,0,0,1,2
5,0,0,2,0,1,0,2
6,0,0,0,2,1,1,1
7,0,1,1,0,0,0,3
8,0,1,0,1,0,1,2
9,0,0,1,1,1,0,2
10,0,3,0,0,0,1,1
11,0,0,3,0,1,0,1
12,0,0,0,3,1,1,0
13,0,2,1,0,0,0,2
14,0,1,2,0,0,0,2
15,0,2,0,1,0,1,1
16,0,1,0,2,0,1,1
17,0,0,2,1,1,0,1
18,0,0,1,2,1,0,1
19,0,1,1,1,0,0,2
20,0,4,0,0,0,1,0
21,0,0,4,0,1,0,0
22,0,0,0,4,1,0,0
23,0,3,1,0,0,0,1
24,0,1,3,0,0,0,1
25,0,3,0,1,0,1,0
26,0,1,0,3,0,1,0
27,0,0,3,1,1,0,0
28,0,0,1,3,1,0,0
29,0,2,2,0,0,0,1
30,0,2,0,2,0,1,0
31,0,0,2,2,1,0,0
32,0,2,1,1,0,0,1
33,0,1,2,1,0,0,1
34,0,1,1,2,0,0,1
35,1,1,0,0,1,2,6
36,1,0,1,0,2,1,6
37,1,0,0,1,2,2,5
38,1,2,0,0,0,2,6
39,1,0,2,0,2,0,6
40,1,0,0,2,2,2,4
41,1,1,1,0,1,1,6
42,1,1,0,1,1,2,5
43,1,0,1,1,2,1,5
44,1,3,0,0,0,2,5
45,1,0,3,0,2,0,5
46,1,0,0,3,2,2,3
47,1,2,1,0,0,1,6
48,1,1,2,0,1,0,6
49,1,2,0,1,0,2,5
50,1,1,0,2,1,2,4
51,1,0,2,1,2,0,5
52,1,0,1,2,2,1,4
53,1,1,1,1,1,1,5
54,1,4,0,0,0,2,4
55,1,0,4,0,2,0,4
56,1,0,0,4,2,2,2
57,1,3,1,0,0,1,5
58,1,1,3,0,1,0,5
59,1,3,0,1,0,2,4
60,1,1,0,3,1,2,3
61,1,0,3,1,2,0,4
62,1,0,1,3,2,1,3
63,1,2,2,0,0,0,6
64,1,2,0,2,0,2,4
65,1,0,2,2,2,0,4
66,1,2,1,1,0,1,5
67,1,1,2,1,1,0,5
68,1,1,1,2,1,1,4
69,1,5,0,0,0,2,3
70,1,0,5,0,2,0,3
71,1,0,0,5,2,2,1
72,1,4,1,0,0,1,4
73,1,1,4,0,1,0,4
74,1,4,0,1,0,2,3
75,1,1,0,4,1,2,2
76,1,0,4,1,2,0,3
77,1,0,1,4,2,1,2
78,1,3,2,0,0,0,5
79,1,2,3,0,0,0,5
80,1,3,0,2,0,2,3
81,1,2,0,3,0,2,3
82,1,0,3,2,2,0,3
83,1,0,2,3,2,0,3
84,1,3,1,1,0,1,4
85,1,1,3,1,1,0,4
86,1,1,1,3,1,1,3
87,1,2,2,1,0,0,5
88,1,2,1,2,0,1,4
