index,type,common,question,common_0,option_0,common_1,option_1,common_2,option_2,common_3,option_3,weight
ID,类型,题目,问题字典,正确答案,选项字典,错误答案1,选项字典,错误答案2,选项字典,错误答案3,选项字典,题目权重
int,string,string,string,string,string,string,string,string,string,string,string,int
1,剧情,劣人曾如何形容他和美屡之间的关系？,tex_quest_1,纯洁的奸情,tex_opt0_1,好基友,tex_opt1_1,好兄弟,tex_opt2_1,好姐妹,tex_opt3_1,100
2,剧情,我叫MT第一季片尾曲，改编自什么歌曲？,tex_quest_2,国际歌,tex_opt0_2,女神的战士,tex_opt1_2,圣斗士神话,tex_opt2_2,天马座的幻想,tex_opt3_2,100
3,剧情,地中海的父亲是什么职业？,tex_quest_3,文学家,tex_opt0_3,数学家,tex_opt1_3,地质学家,tex_opt2_3,物理学家,tex_opt3_3,100
4,剧情,国足们对大小姐有什么用？,tex_quest_4,打方砖,tex_opt0_4,心灵互换,tex_opt1_4,做饭的,tex_opt2_4,打酱油的,tex_opt3_4,100
5,剧情,哀木涕被龙吞掉后是怎么出来的？,tex_quest_5,从后门里爬出来,tex_opt0_5,龙被斩开后爬出来,tex_opt1_5,吐出来,tex_opt2_5,没出来,tex_opt3_5,100
6,剧情,暗夜男最喜欢做什么事情？,tex_quest_6,打小号,tex_opt0_6,钓鱼,tex_opt1_6,骑马,tex_opt2_6,吃饭,tex_opt3_6,100
7,剧情,哀木涕最爱的怪物是什么？,tex_quest_7,小软,tex_opt0_7,大地公主,tex_opt1_7,阿鲁高的崽子,tex_opt2_7,野猪,tex_opt3_7,100
8,剧情,为什么傻馒每次只奶两位数？,tex_quest_8,这样显得比较二,tex_opt0_8,等级低,tex_opt1_8,不想奶,tex_opt2_8,没穿装备,tex_opt3_8,100
9,剧情,美屡最喜欢的是什么？,tex_quest_9,尾巴,tex_opt0_9,辫子,tex_opt1_9,好看的衣服,tex_opt2_9,护肤品,tex_opt3_9,100
10,剧情,国足成员有多少个？,tex_quest_10,6,tex_opt0_10,4,tex_opt1_10,5,tex_opt2_10,7,tex_opt3_10,100
11,剧情,K哥ROLL点的阴谋是什么时候揭穿的？,tex_quest_11,2010年,tex_opt0_11,2009年,tex_opt1_11,2011年,tex_opt2_11,2012年,tex_opt3_11,100
12,剧情,劣人为什么换了新宠物？,tex_quest_12,老宠物烤掉吃了,tex_opt0_12,更强力的宠物,tex_opt1_12,老宠物丢了,tex_opt2_12,美屡要求的,tex_opt3_12,100
13,剧情,会长和沉鱼的决斗中，谁进行了搅局？,tex_quest_13,炮姐和法丝,tex_opt0_13,哀木涕,tex_opt1_13,大大姐和大小姐,tex_opt2_13,冬,tex_opt3_13,100
14,剧情,金币在哀木涕的眼中是什么呢？,tex_quest_14,心肝,tex_opt0_14,粪土,tex_opt1_14,镜花水月,tex_opt2_14,好吃的,tex_opt3_14,100
15,剧情,神棍德除了小德、奸商之外还有什么绰号？,tex_quest_15,大老鼠,tex_opt0_15,小正太,tex_opt1_15,小萝莉,tex_opt2_15,大神,tex_opt3_15,100
16,剧情,能够和傻馒比拼话唠技能的是谁？,tex_quest_16,娇花,tex_opt0_16,闭月,tex_opt1_16,呆贼,tex_opt2_16,三颤,tex_opt3_16,100
17,剧情,会长通常称呼自己什么？,tex_quest_17,朕,tex_opt0_17,咱家,tex_opt1_17,二货,tex_opt2_17,俺,tex_opt3_17,100
18,剧情,炮姐和傻馒是什么关系？,tex_quest_18,师徒,tex_opt0_18,姐妹,tex_opt1_18,闺蜜,tex_opt2_18,兄弟,tex_opt3_18,100
19,剧情,劣人最擅长的技能是什么？,tex_quest_19,假死,tex_opt0_19,抓宝宝,tex_opt1_19,奥术射击,tex_opt2_19,风筝,tex_opt3_19,100
20,剧情,女贼教过劣人什么？,tex_quest_20,血瓶一变二,tex_opt0_20,给哀木涕送包包,tex_opt1_20,扛着宝宝跑,tex_opt2_20,偷窃,tex_opt3_20,100
21,剧情,神棍德不能变成什么怪兽？,tex_quest_21,鹿,tex_opt0_21,豹,tex_opt1_21,熊,tex_opt2_21,树,tex_opt3_21,100
22,剧情,索克给小时候的美屡发布了什么任务？,tex_quest_22,战野猪人,tex_opt0_22,战鱼人,tex_opt1_22,战豺狼人,tex_opt2_22,战狗头人,tex_opt3_22,100
23,剧情,以下英雄中属于四暗影的是？,tex_quest_23,羞花,tex_opt0_23,女德,tex_opt1_23,会长,tex_opt2_23,方砖,tex_opt3_23,100
24,剧情,哀木涕最常用的战术是什么？,tex_quest_24,战略撤退,tex_opt0_24,反间计,tex_opt1_24,铁索横江,tex_opt2_24,打人不打脸,tex_opt3_24,100
25,剧情,傻馒过生日时哀木涕送了什么做礼物？,tex_quest_25,坐骑,tex_opt0_25,金币,tex_opt1_25,装备,tex_opt2_25,宠物,tex_opt3_25,100
26,剧情,国足们战斗力中最擅长的是什么？,tex_quest_26,摆造型,tex_opt0_26,投篮进球,tex_opt1_26,踢毽子,tex_opt2_26,射门进球,tex_opt3_26,100
27,剧情,哀木涕在达隆郡之战中最大的收获是什么？,tex_quest_27,正义感,tex_opt0_27,小软的内裤,tex_opt1_27,金币,tex_opt2_27,装备,tex_opt3_27,100
28,剧情,会长和落雁是什么关系？,tex_quest_28,同门师兄弟,tex_opt0_28,情敌,tex_opt1_28,青梅竹马,tex_opt2_28,基友,tex_opt3_28,100
29,剧情,哀木涕是从什么时候开始黑装备的？,tex_quest_29,被发丝黑过装备后,tex_opt0_29,天生的,tex_opt1_29,遇见傻馒之后,tex_opt2_29,遇见劣人之后,tex_opt3_29,100
30,剧情,对于菊爆大队来说，加智力的铠甲意味着什么呢？,tex_quest_30,主坦的象征,tex_opt0_30,输出的象征,tex_opt1_30,治疗的象征,tex_opt2_30,脑残的象征,tex_opt3_30,100
31,剧情,血小贱为什么守了暗夜男五十多次？,tex_quest_31,赏金任务,tex_opt0_31,被别人请求,tex_opt1_31,闲得无聊,tex_opt2_31,爱好,tex_opt3_31,100
32,剧情,会长通常称呼自己什么？,tex_quest_32,朕,tex_opt0_32,咱家,tex_opt1_32,二货,tex_opt2_32,俺,tex_opt3_32,100
33,剧情,女贼请劣人吃饭时，劣人要吃什么？,tex_quest_33,烤鸡翔,tex_opt0_33,烤鸡翅膀,tex_opt1_33,烤鸡腿,tex_opt2_33,烤鸡蛋,tex_opt3_33,100
34,剧情,五火球教主为什么要跟着会长？,tex_quest_34,会长欠教主巨款,tex_opt0_34,爱上了会长,tex_opt1_34,有把柄在会长手里,tex_opt2_34,闲着无聊,tex_opt3_34,100
35,剧情,傻馒因为什么认为哀木涕是DPS？,tex_quest_35,DPS的意思是呆胖傻,tex_opt0_35,DPS的意思是打牌衰,tex_opt1_35,DPS的意思是都怕死,tex_opt2_35,DPS的意思是肚皮松,tex_opt3_35,100
36,剧情,冬和会长是什么关系？,tex_quest_36,师徒,tex_opt0_36,兄弟,tex_opt1_36,姐妹,tex_opt2_36,父女,tex_opt3_36,100
37,剧情,方砖喜欢自称自己什么？,tex_quest_37,老衲,tex_opt0_37,贫僧,tex_opt1_37,贫道,tex_opt2_37,贫尼,tex_opt3_37,100
38,剧情,女贼的坐骑是什么？,tex_quest_38,骨马,tex_opt0_38,鳄鱼,tex_opt1_38,海龟,tex_opt2_38,坦克,tex_opt3_38,100
39,剧情,劣人第一次显露他的近战才华用的是什么武器？,tex_quest_39,板凳,tex_opt0_39,剑,tex_opt1_39,刀,tex_opt2_39,棍,tex_opt3_39,100
40,剧情,神棍德认为傻馒的指挥比谁好？,tex_quest_40,劣人,tex_opt0_40,哀木涕,tex_opt1_40,三颤,tex_opt2_40,呆贼,tex_opt3_40,100
41,剧情,谁曾被人在奥格瑞玛摆尸？,tex_quest_41,哀木涕,tex_opt0_41,劣人,tex_opt1_41,神棍德,tex_opt2_41,娇花,tex_opt3_41,100
42,剧情,哀木涕倒卖亚麻布的结果是什么？,tex_quest_42,劣人一夜暴富,tex_opt0_42,哀木涕一夜暴富,tex_opt1_42,哀木涕只剩裤头,tex_opt2_42,劣人只剩裤头,tex_opt3_42,100
43,剧情,桶牛第一次说话说得是啥？,tex_quest_43,孙子们,tex_opt0_43,孩儿们,tex_opt1_43,宝贝们,tex_opt2_43,类得神俺的站头们,tex_opt3_43,100
