id,name
id,名字
int,string
1,item_gonghuitouxiang+equip_t1_fagong_shipin
2,item_gonghuitouxiang+equip_t1_minjiefangyu_shipin
3,item_gonghuitouxiang+equip_30_fagong_shipin
4,item_gonghuitouxiang+equip_40_minjiegongji_shipin
5,item_gonghuitouxiang+equip_t0_zhiliao_shipin
6,item_gonghuitouxiang+equip_t3_minjiefangyu_shipin
7,item_gonghuitouxiang+equip_50_minjiefangyu_shipin
8,item_gonghuitouxiang+equip_40_minjiefangyu_shipin
9,item_gonghuitouxiang+equip_t3_liliangfangyu_shipin
10,item_gonghuitouxiang+equip_t0.5_zhiliao_shipin
11,item_gonghuitouxiang+equip_30_liliangfangyu_shipin
12,item_gonghuitouxiang+equip_t2.5_zhiliao_shipin
13,item_gonghuitouxiang+equip_50_liliangfangyu_shipin
14,item_gonghuitouxiang+equip_t1_liliangfangyu_shipin
15,item_gonghuitouxiang+equip_40_zhiliao_shipin
16,item_gonghuitouxiang+equip_50_lilianggongji_shipin
17,item_gonghuitouxiang+equip_t1_zhiliao_shipin
18,item_gonghuitouxiang+equip_20_lilianggongji_shipin
19,item_gonghuitouxiang+equip_20_fagong_shipin
20,item_gonghuitouxiang+equip_50_minjiegongji_shipin
21,item_gonghuitouxiang+equip_t3_minjiegongji_shipin
22,item_gonghuitouxiang+equip_t0.5_lilianggongji_shipin
23,item_gonghuitouxiang+equip_30_minjiefangyu_shipin
24,item_gonghuitouxiang+equip_40_fagong_shipin
25,item_gonghuitouxiang+equip_t0_minjiefangyu_shipin
26,item_gonghuitouxiang+equip_20_zhiliao_shipin
27,item_gonghuitouxiang+equip_t3_zhiliao_shipin
28,item_gonghuitouxiang+equip_30_minjiegongji_shipin
29,item_gonghuitouxiang+equip_40_liliangfangyu_shipin
30,item_gonghuitouxiang+equip_t1_lilianggongji_shipin
31,item_gonghuitouxiang+equip_40_lilianggongji_shipin
32,item_gonghuitouxiang+equip_t0_fagong_shipin
33,item_gonghuitouxiang+equip_t0.5_fagong_shipin
34,item_gonghuitouxiang+equip_50_zhiliao_shipin
35,item_gonghuitouxiang+equip_t0.5_liliangfangyu_shipin
36,item_gonghuitouxiang+equip_t0_minjiegongji_shipin
37,item_gonghuitouxiang+equip_30_zhiliao_shipin
38,item_gonghuitouxiang+equip_t2.5_minjiegongji_shipin
39,item_gonghuitouxiang+equip_20_minjiefangyu_shipin

