actor_config_id,star,star_item_id,star_item_amount,soul_item_id,soul_item_amount,need_gold
角色id,星级,星魂id,星魂数量,魂魄id,消耗数量,消耗金币
int,int,int,int,int,int,int
10001,2,20233001,20,20234002,20,10000
10002,2,20233001,20,20234003,20,10000
10003,2,20233001,20,20234004,20,10000
10004,2,20233001,20,20234005,20,10000
10005,2,20233001,20,20234006,20,10000
10006,2,20233001,20,20234007,20,10000
10007,2,20233001,20,20234008,20,10000
10008,2,20233001,20,20234009,20,10000
10009,2,20233001,20,20234010,20,10000
10010,2,20233001,20,20234011,20,10000
10012,2,20233001,20,20234012,20,10000
10013,2,20233001,20,20234013,20,10000
10014,2,20233001,20,20234014,20,10000
10015,2,20233001,20,20234015,20,10000
10016,2,20233001,20,20234016,20,10000
10017,2,20233001,20,20234017,20,10000
10018,2,20233001,20,20234018,20,10000
10019,2,20233001,20,20234019,20,10000
10020,2,20233001,20,20234020,20,10000
10023,2,20233001,20,20234021,20,10000
10026,2,20233001,20,20234022,20,10000
10027,2,20233001,20,20234023,20,10000
10028,2,20233001,20,20234024,20,10000
10029,2,20233001,20,20234025,20,10000
10030,2,20233001,20,20234026,20,10000
10031,2,20233001,20,20234027,20,10000
10032,2,20233001,20,20234028,20,10000
10033,2,20233001,20,20234029,20,10000
10034,2,20233001,20,20234030,20,10000
10035,2,20233001,20,20234031,20,10000
10001,3,20233001,50,20234002,50,100000
10002,3,20233001,50,20234003,50,100000
10003,3,20233001,50,20234004,50,100000
10004,3,20233001,50,20234005,50,100000
10005,3,20233001,50,20234006,50,100000
10006,3,20233001,50,20234007,50,100000
10007,3,20233001,50,20234008,50,100000
10008,3,20233001,50,20234009,50,100000
10009,3,20233001,50,20234010,50,100000
10010,3,20233001,50,20234011,50,100000
10012,3,20233001,50,20234012,50,100000
10013,3,20233001,50,20234013,50,100000
10014,3,20233001,50,20234014,50,100000
10015,3,20233001,50,20234015,50,100000
10016,3,20233001,50,20234016,50,100000
10017,3,20233001,50,20234017,50,100000
10018,3,20233001,50,20234018,50,100000
10019,3,20233001,50,20234019,50,100000
10020,3,20233001,50,20234020,50,100000
10023,3,20233001,50,20234021,50,100000
10026,3,20233001,50,20234022,50,100000
10027,3,20233001,50,20234023,50,100000
10028,3,20233001,50,20234024,50,100000
10029,3,20233001,50,20234025,50,100000
10030,3,20233001,50,20234026,50,100000
10031,3,20233001,50,20234027,50,100000
10032,3,20233001,50,20234028,50,100000
10033,3,20233001,50,20234029,50,100000
10034,3,20233001,50,20234030,50,100000
10035,3,20233001,50,20234031,50,100000
10001,4,20233001,100,20234002,100,1000000
10002,4,20233001,100,20234003,100,1000000
10003,4,20233001,100,20234004,100,1000000
10004,4,20233001,100,20234005,100,1000000
10005,4,20233001,100,20234006,100,1000000
10006,4,20233001,100,20234007,100,1000000
10007,4,20233001,100,20234008,100,1000000
10008,4,20233001,100,20234009,100,1000000
10009,4,20233001,100,20234010,100,1000000
10010,4,20233001,100,20234011,100,1000000
10012,4,20233001,100,20234012,100,1000000
10013,4,20233001,100,20234013,100,1000000
10014,4,20233001,100,20234014,100,1000000
10015,4,20233001,100,20234015,100,1000000
10016,4,20233001,100,20234016,100,1000000
10017,4,20233001,100,20234017,100,1000000
10018,4,20233001,100,20234018,100,1000000
10019,4,20233001,100,20234019,100,1000000
10020,4,20233001,100,20234020,100,1000000
10023,4,20233001,100,20234021,100,1000000
10026,4,20233001,100,20234022,100,1000000
10027,4,20233001,100,20234023,100,1000000
10028,4,20233001,100,20234024,100,1000000
10029,4,20233001,100,20234025,100,1000000
10030,4,20233001,100,20234026,100,1000000
10031,4,20233001,100,20234027,100,1000000
10032,4,20233001,100,20234028,100,1000000
10033,4,20233001,100,20234029,100,1000000
10034,4,20233001,100,20234030,100,1000000
10035,4,20233001,100,20234031,100,1000000
10001,5,20233001,150,20234002,150,10000000
10002,5,20233001,150,20234003,150,10000000
10003,5,20233001,150,20234004,150,10000000
